Region,Bandicota indica,Berylmys bowersi,Mus caroli,Niviventer lotipes,Rattus andamanensis,Rattus losea,Rattus norvegicus,Rattus tanezumi,Suncus murinus
M2112DB,20,0,0,0,0,1,23,9,7
M2112ZJ,7,0,0,0,3,3,7,11,3
M2201AP,13,1,5,0,1,0,2,9,12
M2201ZJ,8,0,0,0,0,9,3,4,0
M2204AP,17,0,0,0,0,5,14,8,10
M2204ZJ,14,1,0,0,1,11,5,9,11
M2206AP,15,1,2,0,0,1,10,3,10
M2206ZJ,4,0,0,0,1,3,11,3,2
M2207AP,0,0,0,0,0,0,2,0,0
M2207ZJ,3,0,0,0,0,5,2,0,0
M2209HY,0,0,1,0,1,4,7,6,5
M2209JY,0,0,0,0,0,0,14,3,2
M2210ZJ,8,1,0,0,0,8,4,3,0
M2211AP,15,0,0,0,0,0,12,11,11
M2211ZJ,7,0,0,0,0,6,6,6,4
M2212SG,6,0,0,0,1,1,34,5,1
M2212SS,5,0,0,0,2,1,10,2,1
M2212SZ,2,0,1,0,4,9,17,16,0
M2212YF,5,1,0,1,10,1,0,0,0
M2301AP,13,0,0,0,0,0,15,5,1
M2301ZJ,6,0,0,0,0,10,7,9,1
