name,new_x,new_y
Pneumocystis sus,17.9,13.3
Wenzhou Apodemus agrarius hepacivirus 1,24.6,7.8
Eimeria dispersa,32.5,2.8
Mischivirus E,32.6,40.3
Brachylaima sp,36.28,36.66
Guangdong rosa-like virus,39.96,34.01
Guangdong dicipi-like virus,40.8,0.5
Bartonella kosoyi,43.64,30.32
Angiostrongylus cantonensis,47.3,27.2
Guangdong rodent dependoparvovirus 2,48.97,47
Strongyloides stercoralis,49,-1.3
Oxyurida sp,49.08,44.8
Guangdong rodent dependoparvovirus 3,49.46,40.58
Chlamydia muridarum,51,24
Deer mastadenovirus B,51.38,35.52
Raillietina sp,52.4,58.41
Pneumocystis carinii,54.26,62.4
Giardia sp3,54.27,31.47
Guangdong rodent arterivirus 2,54.61,56.41
Guangdong rodent dependoparvovirus 1,54.69,20.31
Rat parvovirus 2,57.33,59.4
Rodent pegivirus,58.05,65.9
Klebsiella variicola,58.37,17.67
Collinsella aerofaciens,61.1,63
Rat minute virus 2a,62,14
Spironucleus sp2,63,75.63
Norway rat pestivirus,63.34,66.6
Trypanosoma lewis,65.21,52.62
Porcine bocavirus,65.73,10.82
Spironucleus sp3,67.9,77.2
Hepatozoon sp,71.63,31.62
Guangdong Rattus norvegicus arterivirus virus,72.8,79.03
Rodent astrovirus 3,73.92,51.92
Nippostrongylus brasiliensis,76.7,45.74
Rat parvovirus 1,77.6,71.6
Guangdong rodent mastadenovirus 1,78.4,60.5
Orthohantavirus seoulense,91,52.7
Rodent astrovirus 2,78.6,79.73
Hunnivirus A,80,49.6
Tritrichomonas sp,81.6,37.17
Bartonella sp,82.9,60.8
Murine kobuvirus,83.4,56.2
Parabovirus A,83.9,25
Guangdong Rattus norvegicus arterivirus virus 2,84.7,79.35
Betacoronavirus 1,85.68,37.95
Strongyloides venezuelensis,86,67.8
Strongyloides ratti,86.5,46.3
Rodent astrovirus 1,86.9,50.2
Wnezhou virus,88.6,54
Guangdong murine mastadenovirus 2,87,60
Norwalk virus,87.9,29.3
Monocercomonoides,89.7,25.6
Giardia sp1,91,45.2
Rat hepatitis E virus,93.1,31.5
Spironucleus sp4,103.46,64.63
Eimeria falciformis,96.2,67.4
Pneumocystis murina,99.3,66.7
Rabovirus A,100,57.9
Beilong virus,100.9,63.4
Cryptosporidium ubiquitum,101,51.8
Pneumocystis wakefieldiae,102.4,46.2
Rodent coronavirus,105.8,61.1
Guangdong rodent orbivirus,106.8,57.4
Chilomastix sp,108.34,24.9
Spironucleus sp5,109.8,33.4
Babesia microti,109.9,77.6
Guangdong Bandicota indica astrovirus,114.8,25.6
Hypotrichomonas,115.5,37.4
Spironucleus sp,118.6,30
Guangdong rodent arterivirus 1,121.7,35.5
Guangdong rodent dependoparvovirus 4,123,40.5
Guangdong rodent picorna-like virus 14,123,46.4
Bandicota indica,98.9,42.1
Rattus losea,83.1,41.7
Rattus norvegicus,76.1,56.4
Rattus tanezumi,66.6,44.1
Suncus murinus,41.7,20
Niviventer lotipes,91.5,77.8
Rattus andamanensis,92.2,33.6
Mus caroli,85.7,10.4
Berylmys bowersi,92.6,15.6
