"","Individual","Type","Richness"
"1","M2112DBH02","Bacteria",0
"2","M2112DBH04","Bacteria",0
"3","M2112DBH06","Bacteria",0
"4","M2112DBH07","Bacteria",0
"5","M2112DBH08","Bacteria",0
"6","M2112DBH10","Bacteria",0
"7","M2112DBH11","Bacteria",0
"8","M2112DBH14","Bacteria",0
"9","M2112DBH15","Bacteria",0
"10","M2112DBH16","Bacteria",0
"11","M2112DBH17","Bacteria",0
"12","M2112DBH18","Bacteria",0
"13","M2112DBH19","Bacteria",0
"14","M2112DBH20","Bacteria",1
"15","M2112DBH22","Bacteria",1
"16","M2112DBH23","Bacteria",0
"17","M2112DBH24","Bacteria",0
"18","M2112DBH25","Bacteria",0
"19","M2112DBH26","Bacteria",0
"20","M2112DBH27","Bacteria",0
"21","M2112DBH28","Bacteria",0
"22","M2112DBH30","Bacteria",0
"23","M2112DBH31","Bacteria",0
"24","M2112DBH32","Bacteria",0
"25","M2112DBH33","Bacteria",0
"26","M2112DBH34","Bacteria",0
"27","M2112DBH35","Bacteria",0
"28","M2112DBH36","Bacteria",0
"29","M2112DBH37","Bacteria",1
"30","M2112DBH38","Bacteria",0
"31","M2112DBH39","Bacteria",0
"32","M2112DBH40","Bacteria",0
"33","M2112DBH41","Bacteria",0
"34","M2112DBH42","Bacteria",0
"35","M2112DBH43","Bacteria",0
"36","M2112DBH44","Bacteria",0
"37","M2112DBH45","Bacteria",0
"38","M2112DBH46","Bacteria",0
"39","M2112DBH47","Bacteria",0
"40","M2112DBH48","Bacteria",0
"41","M2112DBH49","Bacteria",0
"42","M2112DBH50","Bacteria",0
"43","M2112DBH51","Bacteria",0
"44","M2112DBH52","Bacteria",0
"45","M2112DBH53","Bacteria",0
"46","M2112DBH54","Bacteria",1
"47","M2112DBH55","Bacteria",0
"48","M2112DBH56","Bacteria",0
"49","M2112DBH57","Bacteria",0
"50","M2112DBH58","Bacteria",0
"51","M2112DBH60","Bacteria",0
"52","M2112DBH62","Bacteria",1
"53","M2112DBH63","Bacteria",0
"54","M2112ZJBCSW120","Bacteria",0
"55","M2112ZJBCSW121","Bacteria",1
"56","M2112ZJBCSW122","Bacteria",0
"57","M2112ZJBCSW124","Bacteria",0
"58","M2112ZJCQJH149","Bacteria",0
"59","M2112ZJCQJH151","Bacteria",0
"60","M2112ZJHJSH129","Bacteria",0
"61","M2112ZJHJSH130","Bacteria",0
"62","M2112ZJHJSH131","Bacteria",0
"63","M2112ZJHJSH132","Bacteria",0
"64","M2112ZJHJSH133","Bacteria",0
"65","M2112ZJHJSH135","Bacteria",1
"66","M2112ZJHJSH136","Bacteria",0
"67","M2112ZJHJSW114","Bacteria",0
"68","M2112ZJHJSW115","Bacteria",0
"69","M2112ZJHMSW126","Bacteria",0
"70","M2112ZJHMSW127","Bacteria",0
"71","M2112ZJHXSH137","Bacteria",1
"72","M2112ZJHXSH138","Bacteria",0
"73","M2112ZJHXSH143","Bacteria",0
"74","M2112ZJHXSH144","Bacteria",0
"75","M2112ZJHXSH145","Bacteria",0
"76","M2112ZJHXSH147","Bacteria",0
"77","M2112ZJHXSH148","Bacteria",0
"78","M2112ZJWDSW117","Bacteria",0
"79","M2112ZJWDSW118","Bacteria",1
"80","M2201APBCSW090","Bacteria",0
"81","M2201APBCSW091","Bacteria",0
"82","M2201APBCSW092","Bacteria",0
"83","M2201APBCSW093","Bacteria",0
"84","M2201APBCSW094","Bacteria",0
"85","M2201APBCSW095","Bacteria",0
"86","M2201APBCSW096","Bacteria",0
"87","M2201APBCSW097","Bacteria",1
"88","M2201APBCSW098","Bacteria",0
"89","M2201APBCSW100","Bacteria",0
"90","M2201APBCSW102","Bacteria",0
"91","M2201APBCSW103","Bacteria",0
"92","M2201APCQJH064","Bacteria",0
"93","M2201APCQJH065","Bacteria",0
"94","M2201APCQJH066","Bacteria",0
"95","M2201APCQJH067","Bacteria",1
"96","M2201APCQJH068","Bacteria",0
"97","M2201APCQJH069","Bacteria",0
"98","M2201APCQJH072","Bacteria",0
"99","M2201APCQJH073","Bacteria",0
"100","M2201APCQJH075","Bacteria",1
