"","Library","Pathogens","RPM","Tissue","Family","Type","Individual"
"1","M2112DBH01F","Wenzhou Apodemus agrarius hepacivirus 1",8.04316,"Lung","Flaviviridae","RNA Virus","M2112DBH01"
"2","M2112DBH02P","Wenzhou Apodemus agrarius hepacivirus 1",1.133621,"Spleen","Flaviviridae","RNA Virus","M2112DBH02"
"3","M2112DBH04C","Mischivirus E",1655.8589,"Gut","Picornaviridae","RNA Virus","M2112DBH04"
"4","M2112DBH04F","Rat minute virus 2a",96.4479,"Lung","Parvoviridae","DNA Virus","M2112DBH04"
"5","M2112DBH06C","Mischivirus E",1056.669954,"Gut","Picornaviridae","RNA Virus","M2112DBH06"
"6","M2112DBH06P","Guangdong rodent dependoparvovirus 1",6.855865,"Spleen","Parvoviridae","DNA Virus","M2112DBH06"
"7","M2112DBH06P","Wenzhou Apodemus agrarius hepacivirus 1",2.25168,"Spleen","Flaviviridae","RNA Virus","M2112DBH06"
"8","M2112DBH07P","Guangdong rodent dependoparvovirus 1",3.66222,"Spleen","Parvoviridae","DNA Virus","M2112DBH07"
"9","M2112DBH07RCX100","Eimeria dispersa",35.4297,"Gut","Eimeriidae","Eukaryote","M2112DBH07"
"10","M2112DBH07RCX100","Guangdong dicipi-like virus",617.6291635,"Gut","Picornaviridae","RNA Virus","M2112DBH07"
"11","M2112DBH08C","Brachylaima sp",8.78745,"Gut","Brachylaimidae","Eukaryote","M2112DBH08"
"12","M2112DBH10F","Guangdong rodent arterivirus 2",75.99726,"Lung","Arteriviridae","RNA Virus","M2112DBH10"
"13","M2112DBH10P","Guangdong rodent arterivirus 2",976.47551,"Spleen","Arteriviridae","RNA Virus","M2112DBH10"
"14","M2112DBH11C","Nippostrongylus brasiliensis",6.984745,"Gut","Ancylostomatidae","Eukaryote","M2112DBH11"
"15","M2112DBH14P","Rat minute virus 2a",120.021779,"Spleen","Parvoviridae","DNA Virus","M2112DBH14"
"16","M2112DBH15F","Rat minute virus 2a",71.44654,"Lung","Parvoviridae","DNA Virus","M2112DBH15"
"17","M2112DBH16C","Wenzhou virus",1172.241,"Gut","Arenaviridae","RNA Virus","M2112DBH16"
"18","M2112DBH16F","Trypanosoma lewis",22.33742,"Lung","Trypanosomatidae","Eukaryote","M2112DBH16"
"19","M2112DBH16F","Rat minute virus 2a",114.9017,"Lung","Parvoviridae","DNA Virus","M2112DBH16"
"20","M2112DBH16F","Wenzhou virus",3917.1,"Lung","Arenaviridae","RNA Virus","M2112DBH16"
"21","M2112DBH16P","Wenzhou virus",388.636,"Spleen","Arenaviridae","RNA Virus","M2112DBH16"
"22","M2112DBH17C","Strongyloides venezuelensis",2.193,"Gut","Strongyloididae","Eukaryote","M2112DBH17"
"23","M2112DBH17F","Pneumocystis wakefieldiae",2.641717,"Lung","Pneumocystaceae","Eukaryote","M2112DBH17"
"24","M2112DBH17F","Pneumocystis carinii",5.69335,"Lung","Pneumocystaceae","Eukaryote","M2112DBH17"
"25","M2112DBH17F","Angiostrongylus cantonensis",573.342978,"Lung","Ancylostomatidae","Eukaryote","M2112DBH17"
"26","M2112DBH17F","Orthohantavirus seoulense",57.34347,"Lung","Hantaviridae","RNA Virus","M2112DBH17"
"27","M2112DBH17P","Norway rat pestivirus",10.098718,"Spleen","Flaviviridae","RNA Virus","M2112DBH17"
