"","Pathogens","Library","RPM","Tissue","Family","Type"
"3","Angiostrongylus cantonensis","M2204APHJSH256F",1709.0147971,"Lung","Ancylostomatidae","Eukaryote"
"17","Angiostrongylus cantonensis","M2204APHJSH255F",15.8116052,"Lung","Ancylostomatidae","Eukaryote"
"102","Angiostrongylus cantonensis","M2204ZJCQJH207C",3.2145344,"Gut","Ancylostomatidae","Eukaryote"
"173","Angiostrongylus cantonensis","M2112DBH40C",10.2373558,"Gut","Ancylostomatidae","Eukaryote"
"227","Angiostrongylus cantonensis","M2209JYHJSH568FB",8.350259,"Lung","Ancylostomatidae","Eukaryote"
"241","Angiostrongylus cantonensis","M2112DBH17F",573.342978,"Lung","Ancylostomatidae","Eukaryote"
"250","Angiostrongylus cantonensis","M2301ZJBCSW815FX100",902.0489124,"Lung","Ancylostomatidae","Eukaryote"
"272","Angiostrongylus cantonensis","M2210ZJBCSW410RFNX100",1.3586372,"Lung","Ancylostomatidae","Eukaryote"
"279","Angiostrongylus cantonensis","M2206APBCSW307F",1.0466186,"Lung","Ancylostomatidae","Eukaryote"
"290","Angiostrongylus cantonensis","M2206ZJHJSH350F",23.3792915,"Lung","Ancylostomatidae","Eukaryote"
"314","Angiostrongylus cantonensis","M2204APHJSH254F",4.2627879,"Lung","Ancylostomatidae","Eukaryote"
"319","Angiostrongylus cantonensis","M2301ZJHMSW823FX100",61.2916404,"Lung","Ancylostomatidae","Eukaryote"
"323","Angiostrongylus cantonensis","M2211APBCSW508FB",105.65605,"Lung","Ancylostomatidae","Eukaryote"
"329","Angiostrongylus cantonensis","M2201ZJBCSW159F",1.1881438,"Lung","Ancylostomatidae","Eukaryote"
"448","Angiostrongylus cantonensis","M2209JYHXSH562FB",2462.939356,"Lung","Ancylostomatidae","Eukaryote"
"461","Angiostrongylus cantonensis","M2209HYHJSH537CB",14.7696944,"Gut","Ancylostomatidae","Eukaryote"
"485","Angiostrongylus cantonensis","M2209HYBCSW509FBX100",1406.482282,"Lung","Ancylostomatidae","Eukaryote"
"521","Angiostrongylus cantonensis","M2204APBCSW280F",16.285484,"Lung","Ancylostomatidae","Eukaryote"
"522","Angiostrongylus cantonensis","M2209JYHJSH566FB",94.058288,"Lung","Ancylostomatidae","Eukaryote"
"536","Angiostrongylus cantonensis","M2209JYHJSH566CB",6.9686033,"Gut","Ancylostomatidae","Eukaryote"
"552","Angiostrongylus cantonensis","M2210ZJBCSW423P",11.594506,"Spleen","Ancylostomatidae","Eukaryote"
"558","Angiostrongylus cantonensis","M2211APHXSH482F",14.3021454,"Lung","Ancylostomatidae","Eukaryote"
"577","Angiostrongylus cantonensis","M2204ZJBCSW234F",46.100335,"Lung","Ancylostomatidae","Eukaryote"
"624","Angiostrongylus cantonensis","M2209HYHXSH551FB",14.517198,"Lung","Ancylostomatidae","Eukaryote"
"663","Angiostrongylus cantonensis","M2201APCQJH075C",2.5557199,"Gut","Ancylostomatidae","Eukaryote"
"671","Angiostrongylus cantonensis","M2211APBCSW507FX100",397.6643775,"Lung","Ancylostomatidae","Eukaryote"
"726","Angiostrongylus cantonensis","M2211APBCSW501F",314.5156238,"Lung","Ancylostomatidae","Eukaryote"
"738","Angiostrongylus cantonensis","M2211APBCSW505FX100",1163.3192405,"Lung","Ancylostomatidae","Eukaryote"
"739","Angiostrongylus cantonensis","M2112DBH51F",10.341683,"Lung","Ancylostomatidae","Eukaryote"
"740","Angiostrongylus cantonensis","M2201ZJHJSH174F",279.184244,"Lung","Ancylostomatidae","Eukaryote"
"773","Angiostrongylus cantonensis","M2207ZJBCSW379RF",481.6871,"Lung","Ancylostomatidae","Eukaryote"
"801","Angiostrongylus cantonensis","M2211APBCSW498F",685.5713714,"Lung","Ancylostomatidae","Eukaryote"
"815","Angiostrongylus cantonensis","M2211APHJSH481F",50.117025,"Lung","Ancylostomatidae","Eukaryote"
"839","Angiostrongylus cantonensis","M2112DBH49F",1457.289673,"Lung","Ancylostomatidae","Eukaryote"
