"","Library","Shannon","Richness","Type","Tissue"
"1","M2112DBH01F",0,0,"Bacteria","Lung"
"2","M2112DBH01F",0,1,"RNA virus","Lung"
"3","M2112DBH01F",0,0,"DNA virus","Lung"
"4","M2112DBH01F",0,0,"Eukaryote","Lung"
"5","M2112DBH02P",0,1,"RNA virus","Spleen"
"6","M2112DBH02P",0,0,"DNA virus","Spleen"
"7","M2112DBH02P",0,0,"Bacteria","Spleen"
"8","M2112DBH02P",0,0,"Eukaryote","Spleen"
"9","M2112DBH03C",0,0,"Bacteria","Gut"
"10","M2112DBH03C",0,0,"DNA virus","Gut"
"11","M2112DBH03C",0,0,"RNA virus","Gut"
"12","M2112DBH03C",0,0,"Eukaryote","Gut"
"13","M2112DBH04C",0,0,"DNA virus","Gut"
"14","M2112DBH04C",0,0,"Eukaryote","Gut"
"15","M2112DBH04C",0,0,"Bacteria","Gut"
"16","M2112DBH04C",0,1,"RNA virus","Gut"
"17","M2112DBH04F",0,1,"DNA virus","Lung"
"18","M2112DBH04F",0,0,"Eukaryote","Lung"
"19","M2112DBH04F",0,0,"RNA virus","Lung"
"20","M2112DBH04F",0,0,"Bacteria","Lung"
"21","M2112DBH04P",0,0,"RNA virus","Spleen"
"22","M2112DBH04P",0,0,"DNA virus","Spleen"
"23","M2112DBH04P",0,0,"Bacteria","Spleen"
"24","M2112DBH04P",0,0,"Eukaryote","Spleen"
"25","M2112DBH06C",0,0,"Bacteria","Gut"
"26","M2112DBH06C",0,1,"RNA virus","Gut"
"27","M2112DBH06C",0,0,"DNA virus","Gut"
"28","M2112DBH06C",0,0,"Eukaryote","Gut"
"29","M2112DBH06P",0,1,"RNA virus","Spleen"
"30","M2112DBH06P",0,0,"Bacteria","Spleen"
"31","M2112DBH06P",0,1,"DNA virus","Spleen"
"32","M2112DBH06P",0,0,"Eukaryote","Spleen"
"33","M2112DBH07P",0,1,"DNA virus","Spleen"
"34","M2112DBH07P",0,0,"Bacteria","Spleen"
"35","M2112DBH07P",0,0,"RNA virus","Spleen"
"36","M2112DBH07P",0,0,"Eukaryote","Spleen"
"37","M2112DBH07RCX100",0,0,"Bacteria","Gut"
"38","M2112DBH07RCX100",0,1,"RNA virus","Gut"
"39","M2112DBH07RCX100",0,1,"Eukaryote","Gut"
"40","M2112DBH07RCX100",0,0,"DNA virus","Gut"
"41","M2112DBH08C",0,0,"Bacteria","Gut"
