"","Individual","Type","Num","Collected_Time","Collected_Region","Host"
"206","M2112DBH54","RNA virus",3,"2021-Winter","Maoming","Rattus norvegicus"
"208","M2112DBH54","DNA virus",1,"2021-Winter","Maoming","Rattus norvegicus"
"207","M2112DBH54","Bacteria",1,"2021-Winter","Maoming","Rattus norvegicus"
"205","M2112DBH54","Eukaryote",5,"2021-Winter","Maoming","Rattus norvegicus"
"184","M2112DBH48","RNA virus",3,"2021-Winter","Maoming","Rattus norvegicus"
"181","M2112DBH48","DNA virus",1,"2021-Winter","Maoming","Rattus norvegicus"
"183","M2112DBH48","Bacteria",0,"2021-Winter","Maoming","Rattus norvegicus"
"182","M2112DBH48","Eukaryote",5,"2021-Winter","Maoming","Rattus norvegicus"
"57","M2112DBH17","RNA virus",2,"2021-Winter","Maoming","Rattus norvegicus"
"59","M2112DBH17","DNA virus",0,"2021-Winter","Maoming","Rattus norvegicus"
"58","M2112DBH17","Bacteria",0,"2021-Winter","Maoming","Rattus norvegicus"
"60","M2112DBH17","Eukaryote",4,"2021-Winter","Maoming","Rattus norvegicus"
"2267","M2212SZHJSH759","RNA virus",2,"2022-Winter","Shenzhen","Rattus norvegicus"
"2266","M2212SZHJSH759","DNA virus",0,"2022-Winter","Shenzhen","Rattus norvegicus"
"2265","M2212SZHJSH759","Bacteria",2,"2022-Winter","Shenzhen","Rattus norvegicus"
"2268","M2212SZHJSH759","Eukaryote",2,"2022-Winter","Shenzhen","Rattus norvegicus"
"2294","M2212SZHJSH766","RNA virus",4,"2022-Winter","Shenzhen","Rattus norvegicus"
"2296","M2212SZHJSH766","DNA virus",1,"2022-Winter","Shenzhen","Rattus norvegicus"
"2293","M2212SZHJSH766","Bacteria",0,"2022-Winter","Shenzhen","Rattus norvegicus"
"2295","M2212SZHJSH766","Eukaryote",1,"2022-Winter","Shenzhen","Rattus norvegicus"
"1508","M2209JYHJSH569","RNA virus",1,"2022-Autumn","Jieyang","Rattus norvegicus"
"1506","M2209JYHJSH569","DNA virus",1,"2022-Autumn","Jieyang","Rattus norvegicus"
"1507","M2209JYHJSH569","Bacteria",1,"2022-Autumn","Jieyang","Rattus norvegicus"
"1505","M2209JYHJSH569","Eukaryote",2,"2022-Autumn","Jieyang","Rattus norvegicus"
"2054","M2212SGHJSH682","RNA virus",3,"2022-Winter","Shaoguan","Rattus norvegicus"
"2055","M2212SGHJSH682","DNA virus",1,"2022-Winter","Shaoguan","Rattus norvegicus"
"2053","M2212SGHJSH682","Bacteria",0,"2022-Winter","Shaoguan","Rattus norvegicus"
"2056","M2212SGHJSH682","Eukaryote",1,"2022-Winter","Shaoguan","Rattus norvegicus"
"2305","M2212SZHJSH769","RNA virus",3,"2022-Winter","Shenzhen","Rattus norvegicus"
"2308","M2212SZHJSH769","DNA virus",1,"2022-Winter","Shenzhen","Rattus norvegicus"
"2306","M2212SZHJSH769","Bacteria",0,"2022-Winter","Shenzhen","Rattus norvegicus"
"2307","M2212SZHJSH769","Eukaryote",1,"2022-Winter","Shenzhen","Rattus norvegicus"
"2569","M2301APHJSH784","RNA virus",3,"2022-Winter","Anpu","Rattus norvegicus"
"2571","M2301APHJSH784","DNA virus",1,"2022-Winter","Anpu","Rattus norvegicus"
"2570","M2301APHJSH784","Bacteria",1,"2022-Winter","Anpu","Rattus norvegicus"
"2572","M2301APHJSH784","Eukaryote",0,"2022-Winter","Anpu","Rattus norvegicus"
"65","M2112DBH19","RNA virus",1,"2021-Winter","Maoming","Rattus norvegicus"
"66","M2112DBH19","DNA virus",1,"2021-Winter","Maoming","Rattus norvegicus"
"67","M2112DBH19","Bacteria",0,"2021-Winter","Maoming","Rattus norvegicus"
"68","M2112DBH19","Eukaryote",2,"2021-Winter","Maoming","Rattus norvegicus"
"71","M2112DBH20","RNA virus",1,"2021-Winter","Maoming","Rattus norvegicus"
"69","M2112DBH20","DNA virus",1,"2021-Winter","Maoming","Rattus norvegicus"
"72","M2112DBH20","Bacteria",1,"2021-Winter","Maoming","Rattus norvegicus"
"70","M2112DBH20","Eukaryote",1,"2021-Winter","Maoming","Rattus norvegicus"
"78","M2112DBH22","RNA virus",1,"2021-Winter","Maoming","Rattus norvegicus"
"77","M2112DBH22","DNA virus",1,"2021-Winter","Maoming","Rattus norvegicus"
"80","M2112DBH22","Bacteria",1,"2021-Winter","Maoming","Rattus norvegicus"
"79","M2112DBH22","Eukaryote",1,"2021-Winter","Maoming","Rattus norvegicus"
"300","M2112ZJHJSH135","RNA virus",2,"2021-Winter","Zhanjiang","Rattus norvegicus"
"298","M2112ZJHJSH135","DNA virus",1,"2021-Winter","Zhanjiang","Rattus norvegicus"
"299","M2112ZJHJSH135","Bacteria",1,"2021-Winter","Zhanjiang","Rattus norvegicus"
"297","M2112ZJHJSH135","Eukaryote",0,"2021-Winter","Zhanjiang","Rattus norvegicus"
"592","M2201ZJHJSH174","RNA virus",1,"2021-Winter","Zhanjiang","Rattus norvegicus"
"590","M2201ZJHJSH174","DNA virus",1,"2021-Winter","Zhanjiang","Rattus norvegicus"
"589","M2201ZJHJSH174","Bacteria",0,"2021-Winter","Zhanjiang","Rattus norvegicus"
"591","M2201ZJHJSH174","Eukaryote",2,"2021-Winter","Zhanjiang","Rattus norvegicus"
"792","M2204APHJSH263","RNA virus",1,"2022-Spring","Anpu","Rattus norvegicus"
"791","M2204APHJSH263","DNA virus",2,"2022-Spring","Anpu","Rattus norvegicus"
"790","M2204APHJSH263","Bacteria",1,"2022-Spring","Anpu","Rattus norvegicus"
"789","M2204APHJSH263","Eukaryote",0,"2022-Spring","Anpu","Rattus norvegicus"
"1184","M2206APHJSH330","RNA virus",1,"2022-Summer","Anpu","Rattus norvegicus"
"1182","M2206APHJSH330","DNA virus",0,"2022-Summer","Anpu","Rattus norvegicus"
"1181","M2206APHJSH330","Bacteria",0,"2022-Summer","Anpu","Rattus norvegicus"
"1183","M2206APHJSH330","Eukaryote",3,"2022-Summer","Anpu","Rattus norvegicus"
