"","to","from","Positivate.Rate","xstart","ystart","xend","yend"
"1","Angiostrongylus cantonensis","Bandicota indica",0.113095238095238,98.9,42.1,47.3,27.2
"2","Angiostrongylus cantonensis","Rattus tanezumi",0.0245901639344262,66.6,44.1,47.3,27.2
"3","Angiostrongylus cantonensis","Suncus murinus",0.025,41.7,20,47.3,27.2
"4","Angiostrongylus cantonensis","Rattus norvegicus",0.0784313725490196,76.1,56.4,47.3,27.2
"5","Angiostrongylus cantonensis","Rattus losea",0.0256410256410256,83.1,41.7,47.3,27.2
"6","Babesia microti","Niviventer lotipes",1,91.5,77.8,109.9,77.6
"7","Bartonella kosoyi","Rattus andamanensis",0.0833333333333333,92.2,33.6,43.64,30.32
"8","Bartonella kosoyi","Rattus losea",0.0256410256410256,83.1,41.7,43.64,30.32
"9","Bartonella kosoyi","Rattus tanezumi",0.040983606557377,66.6,44.1,43.64,30.32
"10","Bartonella kosoyi","Suncus murinus",0.0125,41.7,20,43.64,30.32
"11","Bartonella kosoyi","Rattus norvegicus",0.053921568627451,76.1,56.4,43.64,30.32
"12","Bartonella sp","Rattus norvegicus",0.0343137254901961,76.1,56.4,82.9,60.8
"13","Bartonella sp","Bandicota indica",0.00595238095238095,98.9,42.1,82.9,60.8
"14","Bartonella sp","Rattus tanezumi",0.0327868852459016,66.6,44.1,82.9,60.8
"15","Beilong virus","Rattus norvegicus",0.0392156862745098,76.1,56.4,100.9,63.4
"16","Beilong virus","Bandicota indica",0.00595238095238095,98.9,42.1,100.9,63.4
"17","Betacoronavirus 1","Bandicota indica",0.113095238095238,98.9,42.1,85.68,37.95
"18","Betacoronavirus 1","Rattus andamanensis",0.0416666666666667,92.2,33.6,85.68,37.95
"19","Betacoronavirus 1","Mus caroli",0.0909090909090909,85.7,10.4,85.68,37.95
"20","Betacoronavirus 1","Rattus tanezumi",0.0327868852459016,66.6,44.1,85.68,37.95
"21","Betacoronavirus 1","Rattus norvegicus",0.0245098039215686,76.1,56.4,85.68,37.95
"22","Brachylaima sp","Suncus murinus",0.0625,41.7,20,36.28,36.66
"23","Brachylaima sp","Rattus tanezumi",0.00819672131147541,66.6,44.1,36.28,36.66
"24","Chilomastix sp","Bandicota indica",0.00595238095238095,98.9,42.1,108.34,24.9
