"","2021-Winter","2022-Spring","2022-Summer","2022-Autumn","2022-Winter","residential aera","agricultural aera","Suncus murinus","Rattus tanezumi","Rattus norvegicus","Bandicota indica","Rattus losea","Rattus andamanensis","Berylmys sp.","Mus caroli","Niviventer lotipes","Maoming","Zhanjiang","Anpu","Heyuan","Jieyang","Shaoguang","Foshan","Shenzhen","Yunfu"
"Rat hepatitis E virus",7.69230769230769,14.9532710280374,3.84615384615385,14.4230769230769,10.8433734939759,0.92378752886836,16.887417218543,1.14942528735632,2.30769230769231,0,26.1363636363636,4.81927710843374,0,20,0,0,3.33333333333333,11.1553784860558,10.0840336134454,4.16666666666667,0,0,0,0,0
"Seoul orthohantavirus",0.854700854700855,3.73831775700935,6.41025641025641,1.92307692307692,1.20481927710843,4.38799076212471,0.33112582781457,0,0.769230769230769,8.33333333333333,0.568181818181818,0,0,0,0,0,1.66666666666667,1.99203187250996,3.36134453781513,0,5.26315789473684,6,5,1.88679245283019,0
"Wenzhou mammarenavirus",6.83760683760684,2.80373831775701,5.12820512820513,10.5769230769231,10.8433734939759,6.23556581986143,8.27814569536424,0,3.84615384615385,10.1851851851852,13.0681818181818,2.40963855421687,0,0,0,0,15,7.17131474103586,7.14285714285714,0,5.26315789473684,6,10,3.77358490566038,0
"Bartonella kosoyi",3.41880341880342,4.67289719626168,2.56410256410256,0,1.20481927710843,4.15704387990762,1.65562913907285,1.14942528735632,3.84615384615385,5.55555555555556,0,3.6144578313253,8,0,0,0,0,2.78884462151394,2.10084033613445,4.16666666666667,0,10,5,5.66037735849057,5
"Pneumocystis carinii",0.854700854700855,0,2.56410256410256,0.961538461538462,7.2289156626506,5.08083140877598,0,0,2.30769230769231,8.7962962962963,0,0,0,0,0,0,11.6666666666667,1.99203187250996,2.10084033613445,0,0,8,5,0,0
"Pneumocystis murina",0,1.86915887850467,1.28205128205128,0.961538461538462,2.40963855421687,0.46189376443418,1.65562913907285,1.14942528735632,0,0.462962962962963,2.84090909090909,0,0,0,0,0,0,0.398406374501992,2.10084033613445,0,0,2,0,0,0
"Pneumocystis sus",0.854700854700855,0,0,0.961538461538462,0,0.69284064665127,0,3.44827586206897,0,0,0,0,0,0,0,0,0,0.398406374501992,0.420168067226891,0,0,2,0,0,0
"Pneumocystis wakefieldiae",7.69230769230769,3.73831775700935,7.69230769230769,3.84615384615385,13.2530120481928,5.77367205542725,9.60264900662252,1.14942528735632,0.769230769230769,10.6481481481481,14.7727272727273,1.20481927710843,0,40,0,0,13.3333333333333,6.77290836653386,7.14285714285714,0,5.26315789473684,20,5,0,0
"Angiostrongylus cantonensis",2.56410256410256,7.47663551401869,2.56410256410256,10.5769230769231,3.6144578313253,4.84988452655889,7.6158940397351,2.29885057471264,2.30769230769231,7.40740740740741,11.3636363636364,3.6144578313253,0,0,0,0,11.6666666666667,3.98406374501992,7.14285714285714,20.8333333333333,26.3157894736842,0,0,0,0
"Babesia microti",0,0,0,0,0,0,0.33112582781457,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,5
"Cryptosporidium ubiquitum",0,0,0,1.92307692307692,2.40963855421687,0.69284064665127,1.32450331125828,0,0,1.38888888888889,0.568181818181818,2.40963855421687,4,0,0,0,1.66666666666667,1.19521912350598,0.420168067226891,0,0,2,0,0,5
"Hepatozoon sp",0,0.934579439252336,1.28205128205128,0.961538461538462,1.20481927710843,0.69284064665127,0.662251655629139,0,2.30769230769231,0,0,0,8,0,0,0,0,1.19521912350598,0.420168067226891,0,0,0,0,0,5
"Klebsiella variicola",2.56410256410256,1.86915887850467,0,0,1.20481927710843,2.07852193995381,0,4.59770114942529,3.07692307692308,0.462962962962963,0,0,0,0,0,0,0,0.796812749003984,1.68067226890756,0,0,0,0,5.66037735849057,0
"Trypanosoma lewis",5.98290598290598,4.67289719626168,2.56410256410256,0.961538461538462,2.40963855421687,4.84988452655889,1.65562913907285,0,9.23076923076923,4.16666666666667,0,4.81927710843374,4,0,0,0,5,4.7808764940239,2.10084033613445,0,0,4,0,5.66037735849057,5
