"","Pathogen","2021-Winter","2022-Autumn","2022-Spring","2022-Summer","2022-Winter","agricultural aera","Anpu","Bandicota indica","Berylmys sp.","Foshan","Heyuan","Jieyang","Maoming","Mus caroli","Niviventer lotipes","Rattus andamanensis","Rattus losea","Rattus norvegicus","Rattus tanezumi","residential aera","Shaoguang","Shenzhen","Suncus murinus","Yunfu","Zhanjiang"
"Angiostrongylus cantonensis","Angiostrongylus cantonensis",0.0256410256410256,0.105769230769231,0.0747663551401869,0.0256410256410256,0.036144578313253,0.076158940397351,0.0714285714285714,0.113636363636364,0,0,0.208333333333333,0.263157894736842,0.116666666666667,0,0,0,0.036144578313253,0.0740740740740741,0.0230769230769231,0.0484988452655889,0,0,0.0229885057471264,0,0.0398406374501992
"Babesia microti","Babesia microti",0,0,0,0,0,0.0033112582781457,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.05,0
"Bartonella kosoyi","Bartonella kosoyi",0.0341880341880342,0,0.0467289719626168,0.0256410256410256,0.0120481927710843,0.0165562913907285,0.0210084033613445,0,0,0.05,0.0416666666666667,0,0,0,0,0.08,0.036144578313253,0.0555555555555556,0.0384615384615385,0.0415704387990762,0.1,0.0566037735849057,0.0114942528735632,0.05,0.0278884462151394
"Cryptosporidium ubiquitum","Cryptosporidium ubiquitum",0,0.0192307692307692,0,0,0.0240963855421687,0.0132450331125828,0.00420168067226891,0.00568181818181818,0,0,0,0,0.0166666666666667,0,0,0.04,0.0240963855421687,0.0138888888888889,0,0.0069284064665127,0.02,0,0,0.05,0.0119521912350598
"Hepatozoon sp","Hepatozoon sp",0,0.00961538461538462,0.00934579439252336,0.0128205128205128,0.0120481927710843,0.00662251655629139,0.00420168067226891,0,0,0,0,0,0,0,0,0.08,0,0,0.0230769230769231,0.0069284064665127,0,0,0,0.05,0.0119521912350598
"Klebsiella variicola","Klebsiella variicola",0.0256410256410256,0,0.0186915887850467,0,0.0120481927710843,0,0.0168067226890756,0,0,0,0,0,0,0,0,0,0,0.00462962962962963,0.0307692307692308,0.0207852193995381,0,0.0566037735849057,0.0459770114942529,0,0.00796812749003984
"Pneumocystis carinii","Pneumocystis carinii",0.00854700854700855,0.00961538461538462,0,0.0256410256410256,0.072289156626506,0,0.0210084033613445,0,0,0.05,0,0,0.116666666666667,0,0,0,0,0.087962962962963,0.0230769230769231,0.0508083140877598,0.08,0,0,0,0.0199203187250996
"Pneumocystis murina","Pneumocystis murina",0,0.00961538461538462,0.0186915887850467,0.0128205128205128,0.0240963855421687,0.0165562913907285,0.0210084033613445,0.0284090909090909,0,0,0,0,0,0,0,0,0,0.00462962962962963,0,0.0046189376443418,0.02,0,0.0114942528735632,0,0.00398406374501992
"Pneumocystis sus","Pneumocystis sus",0.00854700854700855,0.00961538461538462,0,0,0,0,0.00420168067226891,0,0,0,0,0,0,0,0,0,0,0,0,0.0069284064665127,0.02,0,0.0344827586206897,0,0.00398406374501992
"Pneumocystis wakefieldiae","Pneumocystis wakefieldiae",0.0769230769230769,0.0384615384615385,0.0373831775700935,0.0769230769230769,0.132530120481928,0.0960264900662252,0.0714285714285714,0.147727272727273,0.4,0.05,0,0.0526315789473684,0.133333333333333,0,0,0,0.0120481927710843,0.106481481481481,0.00769230769230769,0.0577367205542725,0.2,0,0.0114942528735632,0,0.0677290836653386
"Rat hepatitis E virus","Rat hepatitis E virus",0.0769230769230769,0.144230769230769,0.149532710280374,0.0384615384615385,0.108433734939759,0.16887417218543,0.100840336134454,0.261363636363636,0.2,0,0.0416666666666667,0,0.0333333333333333,0,0,0,0.0481927710843374,0,0.0230769230769231,0.0092378752886836,0,0,0.0114942528735632,0,0.111553784860558
"Seoul orthohantavirus","Seoul orthohantavirus",0.00854700854700855,0.0192307692307692,0.0373831775700935,0.0641025641025641,0.0120481927710843,0.0033112582781457,0.0336134453781513,0.00568181818181818,0,0.05,0,0.0526315789473684,0.0166666666666667,0,0,0,0,0.0833333333333333,0.00769230769230769,0.0438799076212471,0.06,0.0188679245283019,0,0,0.0199203187250996
"Trypanosoma lewis","Trypanosoma lewis",0.0598290598290598,0.00961538461538462,0.0467289719626168,0.0256410256410256,0.0240963855421687,0.0165562913907285,0.0210084033613445,0,0,0,0,0,0.05,0,0,0.04,0.0481927710843374,0.0416666666666667,0.0923076923076923,0.0484988452655889,0.04,0.0566037735849057,0,0.05,0.047808764940239
"Wenzhou mammarenavirus","Wenzhou mammarenavirus",0.0683760683760684,0.105769230769231,0.0280373831775701,0.0512820512820513,0.108433734939759,0.0827814569536424,0.0714285714285714,0.130681818181818,0,0.1,0,0.0526315789473684,0.15,0,0,0,0.0240963855421687,0.101851851851852,0.0384615384615385,0.0623556581986143,0.06,0.0377358490566038,0,0,0.0717131474103586
