"","M2112DBH33","M2112DBH35","M2112DBH36","M2112DBH37","M2112DBH38","M2112DBH39","M2112DBH40","M2112DBH42","M2112DBH43","M2112DBH45","M2112DBH46","M2112DBH47","M2112DBH51","M2112DBH58","M2112DBH63","M2112ZJBCSW121","M2112ZJBCSW124","M2112ZJBCSW125","M2201APBCSW090","M2201APBCSW091","M2201APBCSW093","M2201APBCSW094","M2201APBCSW095","M2201APBCSW096","M2201APBCSW097","M2201APBCSW100","M2201ZJBCSW154","M2201ZJBCSW159","M2204APBCSW280","M2204APBCSW283","M2204APBCSW288","M2204APBCSW291","M2204APHJSH253","M2204ZJBCSW223","M2204ZJBCSW224","M2204ZJBCSW228","M2204ZJBCSW233","M2204ZJBCSW234","M2204ZJBCSW235","M2204ZJBCSW237","M2206APBCSW307","M2207ZJBCSH860","M2207ZJBCSW379","M2207ZJBCSW380","M2209HYBCSW509","M2210ZJBCSW410","M2210ZJBCSW423","M2211APBCSW495","M2211APBCSW496","M2211APBCSW498","M2211APBCSW501","M2211APBCSW503","M2211APBCSW504","M2211APBCSW505","M2211APBCSW507","M2211APBCSW508","M2212SGBCSW694","M2212SSBCSW623","M2212YFBCSH584","M2212YFBCSW595","M2301APBCSW796","M2301APBCSW797","M2301APBCSW799","M2301APBCSW803","M2301APBCSW804","M2301APBCSW805","M2301APBCSW807","M2301APBCSW808","M2301ZJBCSW814","M2301ZJBCSW815","M2301ZJHMSW823","M2201APHWSW105","M2301APQMSW780","M2201APXTSW108","M2201APXTSW109","M2201APXTSW111","M2201APXTSW112","M2201APXTSW113","M2201APXTSW114","M2212SZXTSW738","M2112ZJWDSW118","M2204ZJWDSW213","M2209HYWDSW522","M2212SSHXSH654","M2212SZWDSW731","M2212YFHMSW596","M2212YFHMSW603","M2212YFWDSW606","M2212YFWDSW607","M2212YFWDSW608","M2212YFWDSW609","M2212YFWDSW610","M2212YFWDSW613","M2212YFWDSW614","M2212YFWDSW615","M2212YFWDSW616","M2212YFWDSW617","M2212YFWDSW618","M2212YFWDSW619","M2212YFWDSW620","M2112DBH55","M2112ZJHMSW127","M2201ZJHMSW164","M2201ZJHMSW168","M2201ZJHMSW169","M2201ZJHMSW170","M2204APHMSW295","M2204APHMSW296","M2204APHXSH274","M2204ZJHMSW214","M2204ZJHMSW215","M2204ZJHMSW216","M2204ZJHMSW219","M2204ZJHMSW220","M2204ZJHMSW238","M2204ZJHMSW239","M2204ZJHMSW240","M2206ZJWDSW373","M2207ZJHMSW390","M2209HYHMSW513","M2209HYHXSH553","M2212SZHMSW730","M2212YFHMSW597","M2212YFHMSW600","M2112DBH14","M2112DBH15","M2112DBH16","M2112DBH17","M2112DBH18","M2112DBH19","M2112DBH20","M2112DBH22","M2112DBH48","M2112DBH49","M2112DBH50","M2112DBH54","M2112DBH62","M2112ZJHJSH132","M2112ZJHJSH135","M2201ZJHJSH173","M2201ZJHJSH174","M2201ZJHJSH175","M2204APCQJH248","M2204APHJSH254","M2204APHJSH255","M2204APHJSH256","M2204APHJSH262","M2204APHJSH263","M2204APHXSH271","M2204APHXSH276","M2204APHXSH277","M2204ZJHJSH185","M2206APHJSH329","M2206APHJSH330","M2206APHJSH337","M2206ZJHJSH350","M2206ZJHJSH359","M2207ZJBCSH861","M2209HYHJSH537","M2209HYHJSH538","M2209HYHJSH539","M2209HYHJSH540","M2209HYHJSH542","M2209HYHXSH555","M2209JYCQJH558","M2209JYHJSH566","M2209JYHJSH568","M2209JYHJSH569","M2209JYHJSH570","M2209JYHJSH571","M2209JYHXSH562","M2211APHJSH474","M2211APHJSH477","M2211APHJSH480","M2211APHJSH481","M2211ZJHJSH445","M2212SGBCSW692","M2212SGHJSH672","M2212SGHJSH677","M2212SGHJSH680","M2212SGHJSH682","M2212SGHJSH684","M2212SGHMSW714","M2212SGHMSW715","M2212SGHMSW717","M2212SGHMSW719","M2212SGWDSW689","M2212SSHJSH634","M2212SSHJSH635","M2212SSHJSH636","M2212SSHJSH641","M2212SSHXSH659","M2212SZHJSH759","M2212SZHJSH760","M2212SZHJSH763","M2212SZHJSH764","M2212SZHJSH766","M2212SZHJSH769","M2212SZHJSH852","M2301APHJSH781","M2301APHJSH784","M2301APHJSH785","M2301APHJSH792","M2301ZJHJSH845","M2301ZJHJSH848","M2301ZJHJSH849","M2301ZJHXSH835","M2112DBH24","M2112DBH32","M2112ZJHJSH136","M2201APHXSH079","M2201APHXSH081","M2201APHXSH082","M2201APHXSH083","M2201APHXSH085","M2201ZJHXSH182","M2204APBCSW282","M2204APBCSW287","M2204APHXSH269","M2204APHXSH275","M2204ZJHXSH190","M2204ZJHXSH191","M2204ZJHXSH192","M2204ZJHXSH195","M2206ZJHXSH361","M2206ZJHXSH364","M2209HYHJSH544","M2209HYHJSH545","M2209HYHXSH551","M2209HYHXSH556","M2209JYHXSH563","M2211APHXSH482","M2211APHXSH490","M2211APHXSH491","M2211APHXSH492","M2211ZJHXSH449","M2211ZJHXSH451","M2212SZHXSH741","M2212SZHXSH744","M2212SZHXSH745","M2212SZHXSH748","M2212SZWDSW737","M2301APHXSH777","M2301ZJHJSH851","M2301ZJHXSH836","M2112DBH04","M2112DBH06","M2112DBH07","M2112DBH08","M2201APCQJH064","M2201APCQJH065","M2201APCQJH067","M2201APCQJH069","M2201APCQJH072","M2201APCQJH073","M2201APCQJH074","M2201APCQJH075","M2201APCQJH076","M2201APCQJH077","M2201APCQJH078","M2201ZJCQJH171","M2204APCQJH243","M2204APCQJH246","M2204APCQJH249","M2204APCQJH251","M2204APXTSW298","M2204ZJCQJH196","M2204ZJCQJH201","M2204ZJCQJH204","M2204ZJCQJH207","M2204ZJCQJH209","M2206APCQJH317","M2206APCQJH322","M2206APCQJH323","M2206APCQJH324","M2209HYCQJH526","M2209HYCQJH530","M2209HYCQJH534","M2209HYCQJH535","M2209HYHXSH550","M2209JYCQJH559","M2210ZJCQJH401","M2210ZJCQJH402","M2211APCQJH463","M2211APCQJH467","M2211ZJCQJH446","M2211ZJCQJH447","M2212SSCQJH633","M2212YFCQJH583","M2301APCQJH773","M2301ZJCQJH811","M2301ZJCQJH812"
"Guangdong rosa-like virus",1.04054067224809,1.4528242785345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23497568280032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765719951922109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64272165723707,0,0,0,0,0,0,0,0,0,0.447837170918185,0,0,0,2.00724835092347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342644943231403,0
"Mischivirus E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860057931120636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628240222600426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21928552497901,3.02435016720915,0,0,2.12466402362613,2.74050756175995,2.14763113053507,0,3.86436347713616,2.29875575735407,0,0,2.55948768179777,1.5081588280216,1.6803488412453,0,2.81655164730643,4.49515293404817,3.55180675714224,0,0.935919498728021,3.0929400833512,0,0,0,0,1.93330583836115,2.97897891186095,2.67221317091125,3.64095088803838,0.767043751668899,0,2.62528569265743,0,2.51798720302508,2.93085640913876,0,3.48300746907267,0,0,0,0,0,0,0,0,0
"Porcine bocavirus",0,0,0,0,0,0,0,0,0,0,0,4.71368603094869,1.76773928459803,0,0,0,0,0,0.993122719885618,0,0.773760781367194,0,0,2.57836640111756,0.702192643371623,1.0493479038286,0,0,0,0,0,0,0.980658003225546,1.6368542341898,1.39096405910378,2.94016028715113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871680328428852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09935462529873,0,0,0,0,0,0,0,0,0,0,0,0,1.72786795210429,1.46220554783365,1.37347952723787,2.42608383219973,0,2.53369327342192,0,0,0,0,1.86372371330329,0,0,0,0,0,0,0,0,0,0,0,0.911963529199084,0,0,0,4.07836672704365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08436891090493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45136190858204,0,0,0,0,0,0,2.7004042794968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50615014597153,0,1.53544078045356,0,0,1.72984697104107,0,0,0,0,0,0,0,1.99770549542035,1.97130521830132,4.4322050209167,0,1.66287356518012,0,0,0,0,0,0,0,0,0,0,1.96883691771141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421566088959884,0.533770787772906,0,0,0,0,0,0,0,0,0,0,0,0,1.67455197464598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rat minute virus 2a",0,2.27436039578011,4.90169466312505,0,4.92053472718149,4.1610731929556,0,4.94159637629772,3.61601047747913,4.7125048259476,3.83199690993048,2.85267342874407,2.18641476761568,3.71247952088446,2.15118085885091,0,2.31103290613016,0,4.51242220516299,5.24753797182889,3.76586553674804,4.94900789481374,2.82530057099006,0,0,0,2.46764271458937,2.65272293280997,0,0.835659586487377,1.23964927694237,0,0,0,4.42137196164796,0,1.43652226256885,1.12479659047917,2.35355965165358,1.77748938818921,0,3.92214139891989,0,4.34384438901367,0,0,0,1.67454958569698,0.582718857292601,0,0,0,0,0,0,4.4372956674798,4.21542788542888,2.43401754306666,4.7509920976019,5.43626880194952,2.24444833023028,2.83500539297426,1.08186591871924,2.01053147057829,2.04890518697663,4.8868761158591,0.947988391957303,1.45624453516157,1.03632138745738,0,0,3.50883422432408,3.14137063052296,3.76197091170751,3.97250969928428,2.04490256610954,3.77192778302837,1.02783541954245,4.24547565250252,1.826703102694,0,1.76028599096759,0,3.73950703715481,0.450627641933379,3.40012594812903,4.70708659852502,3.7136198881445,5.2601453976281,2.50493926724462,5.13979654737814,2.60660232608243,0.846843246520572,0,5.17918308315298,5.39341536366724,3.23060804837662,1.8620051292165,4.6237396331658,1.25058071032615,0,1.0653947174157,1.53631750643656,1.53193355009613,0,0.79530845730115,0,0.716100213907172,0,0,3.60831218674865,0,1.34379465865579,1.86661751370089,1.59003768272077,1.6458900138929,0,1.84772389560014,1.53564277043925,0,0,0,2.39151959882094,2.96045555555514,2.0828635326999,1.86001764867828,2.0640898060689,0,0,3.26123240761813,1.91082667285051,2.39269906318725,0,0,1.90115726789117,1.97947325438217,0,2.78087066692171,0.603164711421654,1.17987624187466,1.101867106797,0.532359003832679,1.47002719005027,0,0,0,2.33179826241514,2.37170274678665,0,1.24014144405096,1.52359438510662,0,0,0,0,0,0.826197813774655,1.73418033837505,0.668493731356815,1.30936098962817,0,0,1.15415515691134,0,0.936849487172133,0,2.07590012909024,0.7211184066335,0,0,2.91832710816172,1.96967478094207,1.40304071008598,1.65932993463205,0,1.90778115983846,0,1.75372014256825,5.09737368328565,1.42840258040039,0.964054506116586,0,0,0,1.89848785597822,0.950765953305001,3.80030959867022,0,1.18272688407631,0,0,0.504937393436717,0,1.29829686709857,3.05097722512298,2.59901394137461,3.13397298584954,0.941287966915335,1.14369133500747,2.50658660716455,3.27822576887542,2.89708211783624,0,2.54403054239531,1.2795187705253,2.44832548845618,1.17410053001367,0,2.62610929821189,0,2.97099318696532,0,0,2.25608532233142,0.911594347932742,0.352230384376342,3.28239184631744,2.411825657135,0,1.69784354829352,0,0,0,0.612615614468459,0,0,0,0,0,0,0,0,1.93947452297551,0,1.55722108686762,0,0,0,0,0,1.66145497860324,1.66255102050949,0,1.74668338506124,2.01958387146863,1.9887724845184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37023714075851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58560013258204,0.766441699965411,0,0,2.75307493593504
"Guangdong rodent dependoparvovirus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771205927812512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42320473692634,0.562570486201873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385670430060535,0,0,0,0,0.499668803383698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562823212662912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895194011660408,0.668592763078103,0,0,0,0,1.70404064188728,0,0,0,0,0,0,0,0,0,0,0,1.95949486913492,0,0,1.89603708528613,0,0,0,0,0,0,0,0.77572896182877,0,0,0.77650047613678,0,0,2.48098302222804,0,0,0.813643026205881,0,0,0,0,0.611185575639255,0,0
"Klebsiella variicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58467038446435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98823556802606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25019059520562,2.17032333388915,0,0,2.90326746859109,0,0,0,0,0,0,0,0,1.83786483425116,0,0,0,2.33125718984743,2.30419529677331,0,0,0,0,0,0,0,0,0,2.91442514163965,0,2.52484122430206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydia muridarum",0,0,0,2.7576791390158,0,0,0,0,0,0,0,0,0,0,0,1.42494367426876,0,1.67782678146631,0,0,0,0,0,0,1.49122437903425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85875729660794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07342138932227,1.06267221786279,0,0,2.15165479123906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14881543164594,0,1.6614027982492,0,0,0,0,0,0,0,0,3.23309260955529,1.69911937594735,0,0,0,0,2.16605101391412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02019548975319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79018660953317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bartonella kosoyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16964798771681,0,1.79798246434447,0,0,0,2.8772901240551,3.76360017965043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15648857605002,0,0,0,0,2.70519465725925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3062898926898,0,0,0,0,0,0,0,0,0,0,0,0,3.28045316261187,2.92326993041585,0,0,0,0,0,0,0,0,0,0,3.88972682277076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59003890720344,1.69836243586093,2.31853704213297,2.43815455403204,2.13481437032046,0,1.73554860165263,0,0,1.17062543139841,0,0,0,0,0,0,0,1.87214694551832,0,2.43568991563242,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64088076449718,0,2.6598962429721,0,2.24028784415539,0,0,0,0,0,0,2.47194266468853,0,1.82626468399577,0,0,0,0,0,0,0,0,0,0,0,0,2.67200821769647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28370592920975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angiostrongylus cantonensis",0,0,0,0,0,0,1.05066413182328,0,0,0,0,2.61954055638689,1.05467750459037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34007585947783,1.23768154445617,0,0,3.11322133922181,0,0,0,2.24807961132301,0,1.67302399604894,0,0,0.311036916747289,0,2.68366569228528,0,3.1484429364697,0.372661143871893,1.10018113763949,0,0,2.83668569028953,2.49902086964077,2.08013575603941,2.72563037621858,3.06607207428175,2.60060743118196,2.02798549557629,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95571127391276,1.79442976781888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19900191029779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18959790546136,0,0,0,0,0,0,2.75917131568892,0,0,1.56679001859132,0,0,3.16384380031248,0,0,0,0,0,0,2.44744370933572,0,0,0.721215867506207,1.22560918257806,3.23299986844541,0,0,0,0,0,0,3.10282626283926,0,0,1.38702108019494,0,0,1.19782327724269,0,1.81456856193179,1.0915435300942,0,0,0,2.00871465415387,0.970823640895291,1.26133354952438,1.0966935414413,0,3.39163001449942,0,0,0,1.70856557003922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19081330178034,1.61053558360516,0,1.18475232428574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550927542321924,0,0,0,0,0,0,0,0,0,0,0,0,0.624749602998772,0,0,0,0,0,0,1.1278505672925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachylaima sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76897179528254,0,0,0,0,0,0,0,0,0,0.357906083562545,0,0,0,0,0,0,0,0,0,0,0,0.99066955644229,0,0,0,0,1.38029628272099,0,1.06542658305913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319913720457337,0,1.44823251054548,1.26698623331302,0,0,0,0,0
