"","CRegion","Hos_Taxo","hhh","rate","Pathogen","number","CRegion1"
"1","Anpu","Bandicota indica","Angiostrongylus cantonensis-Bandicota indica",15.9090909090909,"Angiostrongylus cantonensis",44,"Anpu(44)"
"2","Anpu","Bandicota indica","Seoul orthohantavirus-Bandicota indica",0,"Seoul orthohantavirus",44,"Anpu(44)"
"3","Anpu","Bandicota indica","Pneumocystis carinii-Bandicota indica",0,"Pneumocystis carinii",44,"Anpu(44)"
"4","Anpu","Bandicota indica","Norway rat pestivirus-Bandicota indica",0,"Norway rat pestivirus",44,"Anpu(44)"
"5","Anpu","Bandicota indica","Wenzhou mammarenavirus-Bandicota indica",20.4545454545455,"Wenzhou mammarenavirus",44,"Anpu(44)"
"6","Anpu","Bandicota indica","Bartonella kosoyi-Bandicota indica",0,"Bartonella kosoyi",44,"Anpu(44)"
"7","Anpu","Bandicota indica","Rat hepatitis E virus-Bandicota indica",29.5454545454545,"Rat hepatitis E virus",44,"Anpu(44)"
"8","Anpu","Bandicota indica","Rat minute virus 2a-Bandicota indica",36.3636363636364,"Rat minute virus 2a",44,"Anpu(44)"
"9","Anpu","Bandicota indica","Pneumocystis wakefieldiae-Bandicota indica",20.4545454545455,"Pneumocystis wakefieldiae",44,"Anpu(44)"
"10","Anpu","Bandicota indica","Rodent astrovirus 3-Bandicota indica",6.81818181818182,"Rodent astrovirus 3",44,"Anpu(44)"
"21","Anpu","Rattus norvegicus","Angiostrongylus cantonensis-Rattus norvegicus",3.2258064516129,"Angiostrongylus cantonensis",31,"Anpu(31)"
"22","Anpu","Rattus norvegicus","Wenzhou mammarenavirus-Rattus norvegicus",3.2258064516129,"Wenzhou mammarenavirus",31,"Anpu(31)"
"23","Anpu","Rattus norvegicus","Rodent astrovirus 3-Rattus norvegicus",6.45161290322581,"Rodent astrovirus 3",31,"Anpu(31)"
"24","Anpu","Rattus norvegicus","Pneumocystis carinii-Rattus norvegicus",9.67741935483871,"Pneumocystis carinii",31,"Anpu(31)"
"25","Anpu","Rattus norvegicus","Norway rat pestivirus-Rattus norvegicus",12.9032258064516,"Norway rat pestivirus",31,"Anpu(31)"
"26","Anpu","Rattus norvegicus","Rat hepatitis E virus-Rattus norvegicus",0,"Rat hepatitis E virus",31,"Anpu(31)"
"27","Anpu","Rattus norvegicus","Rat minute virus 2a-Rattus norvegicus",19.3548387096774,"Rat minute virus 2a",31,"Anpu(31)"
"28","Anpu","Rattus norvegicus","Seoul orthohantavirus-Rattus norvegicus",6.45161290322581,"Seoul orthohantavirus",31,"Anpu(31)"
"29","Anpu","Rattus norvegicus","Pneumocystis wakefieldiae-Rattus norvegicus",6.45161290322581,"Pneumocystis wakefieldiae",31,"Anpu(31)"
"30","Anpu","Rattus norvegicus","Bartonella kosoyi-Rattus norvegicus",3.2258064516129,"Bartonella kosoyi",31,"Anpu(31)"
"31","Anpu","Rattus tanezumi","Bartonella kosoyi-Rattus tanezumi",3.57142857142857,"Bartonella kosoyi",28,"Anpu(28)"
"32","Anpu","Rattus tanezumi","Angiostrongylus cantonensis-Rattus tanezumi",3.57142857142857,"Angiostrongylus cantonensis",28,"Anpu(28)"
"33","Anpu","Rattus tanezumi","Norway rat pestivirus-Rattus tanezumi",17.8571428571429,"Norway rat pestivirus",28,"Anpu(28)"
"34","Anpu","Rattus tanezumi","Wenzhou mammarenavirus-Rattus tanezumi",7.14285714285714,"Wenzhou mammarenavirus",28,"Anpu(28)"
"35","Anpu","Rattus tanezumi","Pneumocystis wakefieldiae-Rattus tanezumi",0,"Pneumocystis wakefieldiae",28,"Anpu(28)"
"36","Anpu","Rattus tanezumi","Rat minute virus 2a-Rattus tanezumi",17.8571428571429,"Rat minute virus 2a",28,"Anpu(28)"
"37","Anpu","Rattus tanezumi","Seoul orthohantavirus-Rattus tanezumi",0,"Seoul orthohantavirus",28,"Anpu(28)"
"38","Anpu","Rattus tanezumi","Rat hepatitis E virus-Rattus tanezumi",0,"Rat hepatitis E virus",28,"Anpu(28)"
"39","Anpu","Rattus tanezumi","Pneumocystis carinii-Rattus tanezumi",3.57142857142857,"Pneumocystis carinii",28,"Anpu(28)"
"40","Anpu","Rattus tanezumi","Rodent astrovirus 3-Rattus tanezumi",0,"Rodent astrovirus 3",28,"Anpu(28)"
"41","Anpu","Suncus murinus","Pneumocystis carinii-Suncus murinus",0,"Pneumocystis carinii",26,"Anpu(26)"
"42","Anpu","Suncus murinus","Norway rat pestivirus-Suncus murinus",0,"Norway rat pestivirus",26,"Anpu(26)"
"43","Anpu","Suncus murinus","Pneumocystis wakefieldiae-Suncus murinus",3.84615384615385,"Pneumocystis wakefieldiae",26,"Anpu(26)"
"44","Anpu","Suncus murinus","Bartonella kosoyi-Suncus murinus",0,"Bartonella kosoyi",26,"Anpu(26)"
"45","Anpu","Suncus murinus","Rat hepatitis E virus-Suncus murinus",3.84615384615385,"Rat hepatitis E virus",26,"Anpu(26)"
"46","Anpu","Suncus murinus","Wenzhou mammarenavirus-Suncus murinus",0,"Wenzhou mammarenavirus",26,"Anpu(26)"
"47","Anpu","Suncus murinus","Rodent astrovirus 3-Suncus murinus",0,"Rodent astrovirus 3",26,"Anpu(26)"
"48","Anpu","Suncus murinus","Seoul orthohantavirus-Suncus murinus",0,"Seoul orthohantavirus",26,"Anpu(26)"
"49","Anpu","Suncus murinus","Rat minute virus 2a-Suncus murinus",0,"Rat minute virus 2a",26,"Anpu(26)"
"50","Anpu","Suncus murinus","Angiostrongylus cantonensis-Suncus murinus",3.84615384615385,"Angiostrongylus cantonensis",26,"Anpu(26)"
"51","Foshan","Bandicota indica","Pneumocystis wakefieldiae-Bandicota indica",0,"Pneumocystis wakefieldiae",4,"Foshan(4)"
"52","Foshan","Bandicota indica","Norway rat pestivirus-Bandicota indica",0,"Norway rat pestivirus",4,"Foshan(4)"
"53","Foshan","Bandicota indica","Rodent astrovirus 3-Bandicota indica",25,"Rodent astrovirus 3",4,"Foshan(4)"
"54","Foshan","Bandicota indica","Rat hepatitis E virus-Bandicota indica",0,"Rat hepatitis E virus",4,"Foshan(4)"
"55","Foshan","Bandicota indica","Pneumocystis carinii-Bandicota indica",0,"Pneumocystis carinii",4,"Foshan(4)"
"56","Foshan","Bandicota indica","Seoul orthohantavirus-Bandicota indica",0,"Seoul orthohantavirus",4,"Foshan(4)"
"57","Foshan","Bandicota indica","Wenzhou mammarenavirus-Bandicota indica",0,"Wenzhou mammarenavirus",4,"Foshan(4)"
