"","to","from","Positivate.Rate","xstart","ystart","xend","yend"
"1","Angiostrongylus cantonensis","Bandicota indica",0.113095238095238,3.37188735387076,2.43643339495397,2.6,1.8
"2","Angiostrongylus cantonensis","Rattus tanezumi",0.0245901639344262,5.06803577009438,2.83876803280015,2.6,1.8
"3","Angiostrongylus cantonensis","Suncus murinus",0.025,4.68107409597998,1.36445201187613,2.6,1.8
"4","Angiostrongylus cantonensis","Rattus norvegicus",0.0784313725490196,4.42880293622832,3.5019712698901,2.6,1.8
"5","Angiostrongylus cantonensis","Rattus losea",0.0256410256410256,4.17993531153186,2.58135731348907,2.6,1.8
"6","Babesia microti","Niviventer lotipes",1,5,5,6,5
"7","Bartonella kosoyi","Rattus andamanensis",0.0833333333333333,3.83401088335383,1.96919323733902,2.2,2.2
"8","Bartonella kosoyi","Rattus losea",0.0256410256410256,4.17993531153186,2.58135731348907,2.2,2.2
"9","Bartonella kosoyi","Rattus tanezumi",0.040983606557377,5.06803577009438,2.83876803280015,2.2,2.2
"10","Bartonella kosoyi","Suncus murinus",0.0125,4.68107409597998,1.36445201187613,2.2,2.2
"11","Bartonella kosoyi","Rattus norvegicus",0.053921568627451,4.42880293622832,3.5019712698901,2.2,2.2
"12","Bartonella sp","Rattus norvegicus",0.0343137254901961,4.42880293622832,3.5019712698901,3.8372784538525,3.37403672909687
"13","Bartonella sp","Bandicota indica",0.00595238095238095,3.37188735387076,2.43643339495397,3.8372784538525,3.37403672909687
"14","Bartonella sp","Rattus tanezumi",0.0327868852459016,5.06803577009438,2.83876803280015,3.8372784538525,3.37403672909687
"15","Beilong virus","Rattus norvegicus",0.0392156862745098,4.42880293622832,3.5019712698901,3.08618076621651,3.94278475778109
"16","Beilong virus","Bandicota indica",0.00595238095238095,3.37188735387076,2.43643339495397,3.08618076621651,3.94278475778109
"17","Betacoronavirus 1","Bandicota indica",0.113095238095238,3.37188735387076,2.43643339495397,4.20960600416252,2.21050387287065
"18","Betacoronavirus 1","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,4.20960600416252,2.21050387287065
"19","Betacoronavirus 1","Mus caroli",0.0909090909090909,4.41689170070325,0.570287895843565,4.20960600416252,2.21050387287065
"20","Betacoronavirus 1","Rattus tanezumi",0.0327868852459016,5.06803577009438,2.83876803280015,4.20960600416252,2.21050387287065
"21","Betacoronavirus 1","Rattus norvegicus",0.0245098039215686,4.42880293622832,3.5019712698901,4.20960600416252,2.21050387287065
"22","Brachylaima sp","Suncus murinus",0.0625,4.68107409597998,1.36445201187613,3.4,1
"23","Brachylaima sp","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,3.4,1
"24","Chilomastix sp","Bandicota indica",0.00595238095238095,3.37188735387076,2.43643339495397,2.99594276756879,1.29417399742291
"25","Chilomastix sp","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,2.99594276756879,1.29417399742291
"26","Chlamydia muridarum","Suncus murinus",0.0125,4.68107409597998,1.36445201187613,2.4,2
"27","Chlamydia muridarum","Bandicota indica",0.0416666666666667,3.37188735387076,2.43643339495397,2.4,2
"28","Chlamydia muridarum","Rattus norvegicus",0.0147058823529412,4.42880293622832,3.5019712698901,2.4,2
"29","Chlamydia muridarum","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,2.4,2
"30","Chlamydia muridarum","Rattus losea",0.0256410256410256,4.17993531153186,2.58135731348907,2.4,2
"31","Collinsella aerofaciens","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,5.63637600433291,3.94485152711992
"32","Collinsella aerofaciens","Rattus norvegicus",0.0245098039215686,4.42880293622832,3.5019712698901,5.63637600433291,3.94485152711992
"33","Cryptosporidium ubiquitum","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,3.12268231877774,2.99352003870048
"34","Cryptosporidium ubiquitum","Rattus losea",0.0256410256410256,4.17993531153186,2.58135731348907,3.12268231877774,2.99352003870048
"35","Cryptosporidium ubiquitum","Bandicota indica",0.00595238095238095,3.37188735387076,2.43643339495397,3.12268231877774,2.99352003870048
"36","Cryptosporidium ubiquitum","Rattus norvegicus",0.0147058823529412,4.42880293622832,3.5019712698901,3.12268231877774,2.99352003870048
"37","Deer mastadenovirus B","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,6.98773964625251,2.60718966456633
"38","Eimeria dispersa","Suncus murinus",0.0375,4.68107409597998,1.36445201187613,5.71662084018598,0.750907213453532
"39","Eimeria falciformis","Bandicota indica",0.0297619047619048,3.37188735387076,2.43643339495397,3.23539026219725,4.04315067401594
"40","Eimeria falciformis","Rattus norvegicus",0.0147058823529412,4.42880293622832,3.5019712698901,3.23539026219725,4.04315067401594
"41","Giardia sp1","Rattus andamanensis",0.0833333333333333,3.83401088335383,1.96919323733902,3.69847981749804,3.07238562251918
"42","Giardia sp1","Bandicota indica",0.0297619047619048,3.37188735387076,2.43643339495397,3.69847981749804,3.07238562251918
"43","Giardia sp1","Rattus tanezumi",0.0491803278688525,5.06803577009438,2.83876803280015,3.69847981749804,3.07238562251918
"44","Giardia sp1","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,3.69847981749804,3.07238562251918
"45","Giardia sp1","Rattus losea",0.0256410256410256,4.17993531153186,2.58135731348907,3.69847981749804,3.07238562251918
"46","Giardia sp3","Rattus tanezumi",0.0245901639344262,5.06803577009438,2.83876803280015,6.87483430669442,2.26270036026439
"47","Guangdong Bandicota indica astrovirus","Bandicota indica",0.0238095238095238,3.37188735387076,2.43643339495397,2.59516236513218,1.29676728764256
"48","Guangdong dicipi-like virus","Suncus murinus",0.0625,4.68107409597998,1.36445201187613,4.47731153827193,0
"49","Guangdong murine mastadenovirus 2","Rattus norvegicus",0.00980392156862745,4.42880293622832,3.5019712698901,4.05380620610966,3.80590170030179
"50","Guangdong murine mastadenovirus 2","Rattus tanezumi",0.0245901639344262,5.06803577009438,2.83876803280015,4.05380620610966,3.80590170030179
"51","Guangdong murine mastadenovirus 2","Bandicota indica",0.0238095238095238,3.37188735387076,2.43643339495397,4.05380620610966,3.80590170030179
"52","Guangdong Rattus norvegicus arterivirus virus","Rattus norvegicus",0.0196078431372549,4.42880293622832,3.5019712698901,4.92643126805202,4.83364845708669
"53","Guangdong Rattus norvegicus arterivirus virus 2","Rattus norvegicus",0.0392156862745098,4.42880293622832,3.5019712698901,4.0430981478539,4.91264379225134
"54","Guangdong rodent arterivirus 1","Bandicota indica",0.321428571428571,3.37188735387076,2.43643339495397,2,2.65055917146597
"55","Guangdong rodent arterivirus 2","Rattus tanezumi",0.0491803278688525,5.06803577009438,2.83876803280015,5.46073341701525,3.78783395325051
"56","Guangdong rodent arterivirus 2","Rattus norvegicus",0.0196078431372549,4.42880293622832,3.5019712698901,5.46073341701525,3.78783395325051
"57","Guangdong rodent dependoparvovirus 1","Rattus norvegicus",0.0147058823529412,4.42880293622832,3.5019712698901,3,1.4
"58","Guangdong rodent dependoparvovirus 1","Rattus losea",0.0128205128205128,4.17993531153186,2.58135731348907,3,1.4
"59","Guangdong rodent dependoparvovirus 1","Rattus tanezumi",0.0163934426229508,5.06803577009438,2.83876803280015,3,1.4
"60","Guangdong rodent dependoparvovirus 1","Suncus murinus",0.0875,4.68107409597998,1.36445201187613,3,1.4
"61","Guangdong rodent dependoparvovirus 2","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,7.00797861454765,2.98864889549517
"62","Guangdong rodent dependoparvovirus 3","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,6.94671868499141,3.34232448961755
"63","Guangdong rodent dependoparvovirus 4","Bandicota indica",0.0476190476190476,3.37188735387076,2.43643339495397,2.14787672878378,1.96253149729767
"64","Guangdong rodent mastadenovirus 1","Rattus tanezumi",0.0163934426229508,5.06803577009438,2.83876803280015,3.78999974168913,3.6235904402366
"65","Guangdong rodent mastadenovirus 1","Bandicota indica",0.0178571428571429,3.37188735387076,2.43643339495397,3.78999974168913,3.6235904402366
"66","Guangdong rodent mastadenovirus 1","Rattus norvegicus",0.00980392156862745,4.42880293622832,3.5019712698901,3.78999974168913,3.6235904402366
"67","Guangdong rodent orbivirus","Bandicota indica",0.0178571428571429,3.37188735387076,2.43643339495397,2.94674679163055,3.64694790928614
"68","Guangdong rodent orbivirus","Rattus norvegicus",0.0147058823529412,4.42880293622832,3.5019712698901,2.94674679163055,3.64694790928614
"69","Guangdong rodent picorna-like virus 14","Bandicota indica",0.0178571428571429,3.37188735387076,2.43643339495397,2.03944490552597,2.30962629121835
"70","Guangdong rosa-like virus","Bandicota indica",0.0119047619047619,3.37188735387076,2.43643339495397,2.8,1.6
"71","Guangdong rosa-like virus","Rattus tanezumi",0.0245901639344262,5.06803577009438,2.83876803280015,2.8,1.6
"72","Guangdong rosa-like virus","Suncus murinus",0.0125,4.68107409597998,1.36445201187613,2.8,1.6
"73","Guangdong rosa-like virus","Rattus norvegicus",0.00980392156862745,4.42880293622832,3.5019712698901,2.8,1.6
"74","Hepatozoon sp","Rattus tanezumi",0.0245901639344262,5.06803577009438,2.83876803280015,5.99446296852357,2.08373325285139
"75","Hepatozoon sp","Rattus andamanensis",0.0833333333333333,3.83401088335383,1.96919323733902,5.99446296852357,2.08373325285139
"76","Hunnivirus A","Rattus tanezumi",0.0163934426229508,5.06803577009438,2.83876803280015,4.20069475591439,2.95239495654388
"77","Hunnivirus A","Rattus norvegicus",0.0245098039215686,4.42880293622832,3.5019712698901,4.20069475591439,2.95239495654388
"78","Hunnivirus A","Bandicota indica",0.0238095238095238,3.37188735387076,2.43643339495397,4.20069475591439,2.95239495654388
"79","Hunnivirus A","Rattus andamanensis",0.0416666666666667,3.83401088335383,1.96919323733902,4.20069475591439,2.95239495654388
"80","Hypotrichomonas","Rattus losea",0.0128205128205128,4.17993531153186,2.58135731348907,2.56575177628602,2.23267501083656
"81","Hypotrichomonas","Bandicota indica",0.0238095238095238,3.37188735387076,2.43643339495397,2.56575177628602,2.23267501083656
"82","Klebsiella variicola","Rattus norvegicus",0.00490196078431373,4.42880293622832,3.5019712698901,3.2,1.2
"83","Klebsiella variicola","Rattus tanezumi",0.0327868852459016,5.06803577009438,2.83876803280015,3.2,1.2
"84","Klebsiella variicola","Suncus murinus",0.05,4.68107409597998,1.36445201187613,3.2,1.2
"85","Mischivirus E","Suncus murinus",0.2625,4.68107409597998,1.36445201187613,1.8,2.6
"86","Mischivirus E","Rattus norvegicus",0.00980392156862745,4.42880293622832,3.5019712698901,1.8,2.6
"87","Monocercomonoides","Bandicota indica",0.00595238095238095,3.37188735387076,2.43643339495397,4.35780083197086,1.4568854021278
"88","Monocercomonoides","Rattus tanezumi",0.00819672131147541,5.06803577009438,2.83876803280015,4.35780083197086,1.4568854021278
"89","Murine kobuvirus","Rattus losea",0.0128205128205128,4.17993531153186,2.58135731348907,4.1027157009314,3.49920879474662
"90","Murine kobuvirus","Bandicota indica",0.0297619047619048,3.37188735387076,2.43643339495397,4.1027157009314,3.49920879474662
"91","Murine kobuvirus","Rattus norvegicus",0.0441176470588235,4.42880293622832,3.5019712698901,4.1027157009314,3.49920879474662
