"","Clade","Mammal-related","Mammal-unrelated"
"Adenoviridae","Adenoviridae",3,0
"Anelloviridae","Anelloviridae",7,0
"Astro-Poty","Astro-Poty",4,2
"Bunya_Arena","Bunya_Arena",2,5
"Circoviridae","Circoviridae",0,4
"Flavi","Flavi",3,0
"Hepe-Virga","Hepe-Virga",1,3
"Mono-Chu","Mono-Chu",1,1
"Narna-Levi","Narna-Levi",0,33
"Nido","Nido",7,0
"Partiti-Picobirna","Partiti-Picobirna",51,15
"Parvoviridae","Parvoviridae",9,2
"Permutotetra","Permutotetra",0,1
"Picorna-Calici","Picorna-Calici",10,15
"Reo","Reo",1,0
"Tombus-Noda","Tombus-Noda",0,23
"Toti","Toti",0,5
