"","Gut","Lung","Spleen"
"Adenoviridae",0.0234325458924773,0.00124361607972451,0
"Anelloviridae",0.00194296043728875,0.0136793449038404,0.486049661737993
"Astro-Poty",0.192473086365552,0.00563166646034993,0.0123271416797969
"Bunya_Arena",0.132066086953423,0.207901078709907,0.109609502985493
"Circoviridae",0.00293408211648443,0.0163015714193572,0.020918182687259
"Flavi",0.0171422392379774,0.0535838579865978,0.0660884131514986
"Hepe-Virga",0.0366780985068174,0.0741925022519727,0.106614854926439
"Mono-Chu",0.00351172242725074,0.0119608150546496,0.00165509831622226
"Narna-Levi",0.0637311978555837,0.0117368190199118,0
"Nido",0.16738577459142,0.256321648744609,0.169551800849504
"Partiti-Picobirna",0.0643497906034656,0.00742967742774607,0
"Parvoviridae",0.214186985748998,0.15177844839017,0.401600190644692
"Permutotetra",0.00394417905465528,0,0
"Picorna-Calici",0.214619032195377,0.000749601504295525,0.00983964115172668
"Reo",0,0.01371076594057,0.00463699764835097
"Tombus-Noda",0.081670313396823,0.0209290051592777,0.00105391382895446
"Toti",0.00530135721954121,0.00510707805402336,0
