Longtitude	Latitude	Time	aet	def	swe	q	soil	PDSI	pet	ppt	srad	tmax	tmin	vap	vpd	ws	NIR	red	NDVI	Mammal_richness	land_used
109.9937	21.4611	202211	69.8	10.5	0	3.1	75	-0.97	80.3	62.7	142.3	26.8	19.5	2.257	0.65	2.4	27736274.41	8844304.81	0.516448072	55	41
110.0036111	21.45305556	202211	67	13.4	0	2.8	71.1	-1.05	80.3	56.8	142.8	26.8	19.5	2.26	0.65	2.4	29981083.98	9200003.662	0.530385489	55	12
110.022205	21.4890749	202206	138.7	0	0	25.5	124	-2.14	138.7	164.2	234.4	31.8	25.9	3.176	0.87	3.1	37990861.82	7665980.225	0.664191395	55	12
110.0255555	21.4841666	202206	138.7	0	0	25.5	124	-2.14	138.7	164.2	234.4	31.8	25.9	3.176	0.87	3.1	37516359.86	6725844.116	0.695953478	55	22
110.028597	21.45225	202211	67	13.4	0	2.8	71.1	-1.05	80.3	56.8	142.8	26.8	19.5	2.26	0.65	2.4	26852158.2	10124263.31	0.452393558	55	52
110.031	21.449	202301	46.7	23.3	0	2	31.1	-0.84	70	39.8	132.6	17.8	12	1.238	0.49	2.9	27744758.3	9165097.656	0.503379386	55	12
110.0613889	21.4725	202204	79.6	30.8	0	3.2	38.8	-1.96	110.4	64.8	214.2	25.6	19.8	2.172	0.64	2.5	32742639.16	6793263.55	0.656349643	55	24
110.061969	21.4848533	202206	137.4	0	0	28.1	123.2	-2.21	137.4	165.5	233.5	31.7	25.8	3.165	0.85	3	37029902.34	4809429.016	0.770100102	55	12
110.1038889	21.47777778	202201	33.4	26.1	0	1.2	31.9	-2.24	59.6	23.7	137.5	19.4	13.6	1.55	0.36	2.4	24124516.6	7358101.196	0.532561031	55	52
110.1133333	21.53916667	202201	34.6	24	0	1.3	34	-2.3	58.7	25.5	137.1	19.3	13.4	1.55	0.35	2.4	26234545.9	8875074.463	0.494436319	55	46
110.133	21.481	202301	45.2	20.8	0	2	31.1	-1.32	65.9	39.3	133.4	17.4	11.5	1.219	0.46	2.4	28443886.72	7405698.853	0.586846055	55	11
