"Individual","Collected_Time","Collected_Region","Hos_Taxo"
"M2112DBH02","2021-Winter","DB","Suncus murinus"
"M2112DBH03","2021-Winter","DB","Suncus murinus"
"M2112DBH04","2021-Winter","DB","Suncus murinus"
"M2112DBH05","2021-Winter","DB","Suncus murinus"
"M2112DBH06","2021-Winter","DB","Suncus murinus"
"M2112DBH07","2021-Winter","DB","Suncus murinus"
"M2112DBH08","2021-Winter","DB","Suncus murinus"
"M2112DBH10","2021-Winter","DB","Rattus tanezumi"
"M2112DBH11","2021-Winter","DB","Rattus norvegicus"
"M2112DBH12","2021-Winter","DB","Rattus norvegicus"
"M2112DBH13","2021-Winter","DB","Rattus norvegicus"
"M2112DBH14","2021-Winter","DB","Rattus norvegicus"
"M2112DBH15","2021-Winter","DB","Rattus norvegicus"
"M2112DBH16","2021-Winter","DB","Rattus norvegicus"
"M2112DBH17","2021-Winter","DB","Rattus norvegicus"
"M2112DBH18","2021-Winter","DB","Rattus norvegicus"
"M2112DBH19","2021-Winter","DB","Rattus norvegicus"
"M2112DBH20","2021-Winter","DB","Rattus norvegicus"
"M2112DBH21","2021-Winter","DB","Rattus norvegicus"
"M2112DBH22","2021-Winter","DB","Rattus norvegicus"
"M2112DBH23","2021-Winter","DB","Rattus norvegicus"
"M2112DBH24","2021-Winter","DB","Rattus tanezumi"
"M2112DBH25","2021-Winter","DB","Rattus norvegicus"
"M2112DBH26","2021-Winter","DB","Rattus tanezumi"
"M2112DBH27","2021-Winter","DB","Rattus tanezumi"
"M2112DBH28","2021-Winter","DB","Rattus tanezumi"
"M2112DBH29","2021-Winter","DB","Rattus tanezumi"
"M2112DBH30","2021-Winter","DB","Rattus tanezumi"
"M2112DBH31","2021-Winter","DB","Rattus tanezumi"
"M2112DBH32","2021-Winter","DB","Rattus tanezumi"
"M2112DBH33","2021-Winter","DB","Bandicota indica"
"M2112DBH34","2021-Winter","DB","Bandicota indica"
"M2112DBH35","2021-Winter","DB","Bandicota indica"
"M2112DBH36","2021-Winter","DB","Bandicota indica"
"M2112DBH37","2021-Winter","DB","Bandicota indica"
"M2112DBH38","2021-Winter","DB","Bandicota indica"
"M2112DBH39","2021-Winter","DB","Bandicota indica"
"M2112DBH40","2021-Winter","DB","Bandicota indica"
"M2112DBH41","2021-Winter","DB","Bandicota indica"
"M2112DBH42","2021-Winter","DB","Bandicota indica"
"M2112DBH43","2021-Winter","DB","Bandicota indica"
"M2112DBH44","2021-Winter","DB","Bandicota indica"
"M2112DBH45","2021-Winter","DB","Bandicota indica"
"M2112DBH46","2021-Winter","DB","Bandicota indica"
"M2112DBH47","2021-Winter","DB","Bandicota indica"
"M2112DBH48","2021-Winter","DB","Rattus norvegicus"
"M2112DBH49","2021-Winter","DB","Rattus norvegicus"
"M2112DBH50","2021-Winter","DB","Rattus norvegicus"
"M2112DBH51","2021-Winter","DB","Bandicota indica"
"M2112DBH52","2021-Winter","DB","Bandicota indica"
"M2112DBH53","2021-Winter","DB","Bandicota indica"
"M2112DBH54","2021-Winter","DB","Rattus norvegicus"
"M2112DBH55","2021-Winter","DB","Rattus losea"
"M2112DBH56","2021-Winter","DB","Rattus norvegicus"
"M2112DBH57","2021-Winter","DB","Rattus norvegicus"
"M2112DBH58","2021-Winter","DB","Bandicota indica"
"M2112DBH60","2021-Winter","DB","Rattus norvegicus"
"M2112DBH61","2021-Winter","DB","Rattus norvegicus"
"M2112DBH62","2021-Winter","DB","Rattus norvegicus"
"M2112DBH63","2021-Winter","DB","Bandicota indica"
"M2112ZJBCSW119","2021-Winter","ZJ","Bandicota indica"
"M2112ZJBCSW120","2021-Winter","ZJ","Bandicota indica"
"M2112ZJBCSW121","2021-Winter","ZJ","Bandicota indica"
"M2112ZJBCSW122","2021-Winter","ZJ","Bandicota indica"
"M2112ZJBCSW123","2021-Winter","ZJ","Bandicota indica"
"M2112ZJBCSW124","2021-Winter","ZJ","Bandicota indica"
"M2112ZJCQJH149","2021-Winter","ZJ","Suncus murinus"
"M2112ZJCQJH150","2021-Winter","ZJ","Suncus murinus"
"M2112ZJCQJH151","2021-Winter","ZJ","Suncus murinus"
"M2112ZJHJSH129","2021-Winter","ZJ","Rattus norvegicus"
"M2112ZJHJSH130","2021-Winter","ZJ","Rattus norvegicus"
"M2112ZJHJSH132","2021-Winter","ZJ","Rattus norvegicus"
"M2112ZJHJSH133","2021-Winter","ZJ","Rattus norvegicus"
"M2112ZJHJSH134","2021-Winter","ZJ","Rattus norvegicus"
"M2112ZJHJSH135","2021-Winter","ZJ","Rattus norvegicus"
"M2112ZJHJSW114","2021-Winter","ZJ","Bandicota indica"
"M2112ZJHJSW115","2021-Winter","ZJ","Rattus norvegicus"
"M2112ZJHMSW126","2021-Winter","ZJ","Rattus losea"
"M2112ZJHMSW127","2021-Winter","ZJ","Rattus losea"
"M2112ZJHMSW128","2021-Winter","ZJ","Rattus losea"
"M2112ZJHXSH137","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH138","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH139","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH140","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH141","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH143","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH144","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH145","2021-Winter","ZJ","Rattus tanezumi"
"M2112ZJHXSH146","2021-Winter","ZJ","Rattus tanezumi"
