Individual	Region	Longtitude	Latitude	Time	Collected_Time	Collected_Region	Hos_Taxo
M2112DBH02	M2112DB	111.02	21.52	202112	2021-Winter	DB	Suncus murinus
M2112DBH03	M2112DB	111.02	21.52	202112	2021-Winter	DB	Suncus murinus
M2112DBH04	M2112DB	111.02	21.52	202112	2021-Winter	DB	Suncus murinus
M2112DBH05	M2112DB	111.02	21.52	202112	2021-Winter	DB	Suncus murinus
M2112DBH06	M2112DB	111.02	21.52	202112	2021-Winter	DB	Suncus murinus
M2112DBH07	M2112DB	111.02	21.52	202112	2021-Winter	DB	Suncus murinus
M2112DBH08	M2112DB	111.02	21.52	202112	2021-Winter	DB	Suncus murinus
M2112DBH10	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH11	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH12	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH13	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH14	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH15	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH16	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH17	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH18	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH19	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH20	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH21	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH22	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH23	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH24	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH25	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH26	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH27	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH28	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH29	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH30	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH31	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH32	M2112DB	111.02	21.52	202112	2021-Winter	DB	Rattus tanezumi
M2112DBH33	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH34	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH35	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH36	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH37	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH38	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH39	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH40	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH41	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH42	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH43	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH44	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH45	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH46	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH47	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH48	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH49	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH50	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH51	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH52	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH53	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH54	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH55	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus losea
M2112DBH56	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH57	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH58	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112DBH60	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH61	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH62	M2112DB	111.04	21.63	202112	2021-Winter	DB	Rattus norvegicus
M2112DBH63	M2112DB	111.04	21.63	202112	2021-Winter	DB	Bandicota indica
M2112ZJBCSW119	M2112ZJ	110.3094444	21.26861111	202112	2021-Winter	ZJ	Bandicota indica
M2112ZJBCSW120	M2112ZJ	110.3094444	21.26861111	202112	2021-Winter	ZJ	Bandicota indica
M2112ZJBCSW121	M2112ZJ	110.3094444	21.26861111	202112	2021-Winter	ZJ	Bandicota indica
M2112ZJBCSW122	M2112ZJ	110.3094444	21.26861111	202112	2021-Winter	ZJ	Bandicota indica
M2112ZJBCSW123	M2112ZJ	110.3094444	21.26861111	202112	2021-Winter	ZJ	Bandicota indica
M2112ZJBCSW124	M2112ZJ	110.3094444	21.26861111	202112	2021-Winter	ZJ	Bandicota indica
M2112ZJCQJH149	M2112ZJ	110.3297222	21.29083333	202112	2021-Winter	ZJ	Suncus murinus
M2112ZJCQJH150	M2112ZJ	110.3297222	21.29083333	202112	2021-Winter	ZJ	Suncus murinus
