"","Angiostrongylus cantonensis","Babesia microti","Bartonella kosoyi","Bartonella sp","Beilong virus","Betacoronavirus 1","Brachylaima sp","Chilomastix sp","Chlamydia muridarum","Collinsella aerofaciens","Cryptosporidium ubiquitum","Deer mastadenovirus B","Desulfovibrio piger","Eimeria dispersa","Eimeria falciformis","Fox fecal picobirnavirus","Giardia sp1","Giardia sp3","Guangdong Bandicota indica arterivirus virus","Guangdong Bandicota indica astrovirus","Guangdong dicipi-like virus","Guangdong murine mastadenovirus 2","Guangdong parechovirus","Guangdong Rattus norvegicus arterivirus virus","Guangdong Rattus norvegicus arterivirus virus 2","Guangdong rodent aleptorquevirus","Guangdong rodent anellovirus 1","Guangdong rodent anellovirus 2","Guangdong rodent anellovirus 3","Guangdong rodent arterivirus 1","Guangdong rodent arterivirus 2","Guangdong rodent chaphamaparvovirus 3","Guangdong rodent dependoparvovirus 1","Guangdong rodent dependoparvovirus 2","Guangdong rodent dependoparvovirus 3","Guangdong rodent dependoparvovirus 4","Guangdong rodent mastadenovirus 1","Guangdong rodent orbivirus","Guangdong rodent orthopicobirnavirus 1","Guangdong rodent orthopicobirnavirus 10","Guangdong rodent orthopicobirnavirus 11","Guangdong rodent orthopicobirnavirus 12","Guangdong rodent orthopicobirnavirus 13","Guangdong rodent orthopicobirnavirus 14","Guangdong rodent orthopicobirnavirus 15","Guangdong rodent orthopicobirnavirus 16","Guangdong rodent orthopicobirnavirus 18","Guangdong rodent orthopicobirnavirus 19","Guangdong rodent orthopicobirnavirus 2","Guangdong rodent orthopicobirnavirus 20","Guangdong rodent orthopicobirnavirus 21","Guangdong rodent orthopicobirnavirus 22","Guangdong rodent orthopicobirnavirus 23","Guangdong rodent orthopicobirnavirus 24","Guangdong rodent orthopicobirnavirus 26","Guangdong rodent orthopicobirnavirus 27","Guangdong rodent orthopicobirnavirus 28","Guangdong rodent orthopicobirnavirus 29","Guangdong rodent orthopicobirnavirus 3","Guangdong rodent orthopicobirnavirus 30","Guangdong rodent orthopicobirnavirus 31","Guangdong rodent orthopicobirnavirus 32","Guangdong rodent orthopicobirnavirus 33","Guangdong rodent orthopicobirnavirus 35","Guangdong rodent orthopicobirnavirus 36","Guangdong rodent orthopicobirnavirus 37","Guangdong rodent orthopicobirnavirus 38","Guangdong rodent orthopicobirnavirus 4","Guangdong rodent orthopicobirnavirus 40","Guangdong rodent orthopicobirnavirus 41","Guangdong rodent orthopicobirnavirus 5","Guangdong rodent orthopicobirnavirus 7","Guangdong rodent orthopicobirnavirus 8","Guangdong rodent orthopicobirnavirus 9","Guangdong rodent picorna-like virus 14","Guangdong rodent picornabirus 1","Guangdong rodent picornabirus 10","Guangdong rodent picornabirus 11","Guangdong rodent picornabirus 12","Guangdong rodent picornabirus 2","Guangdong rodent picornabirus 3","Guangdong rodent picornabirus 4","Guangdong rodent picornabirus 5","Guangdong rodent picornabirus 6","Guangdong rodent picornabirus 8","Guangdong rodent picornabirus 9","Guangdong rodent torque teno virus 1","Guangdong rodent torque teno virus 3","Guangdong rosa-like virus","Hepatozoon sp","Hunnivirus A","Hypotrichomonas","Klebsiella variicola","Marmot picobirnavirus","Mischivirus E","Monocercomonoides","Murine kobuvirus","Nippostrongylus brasiliensis","Norwalk virus","Norway rat pestivirus","Orthohantavirus seoulense","Oryza sativa","Oxyurida sp","Parabovirus A","Plagiorchis multiglandularis","Pneumocystis carinii","Pneumocystis murina","Pneumocystis sus","Pneumocystis wakefieldiae","Porcine bocavirus","Rabovirus A","Raillietina sp","Rat hepatitis E virus","Rat minute virus 2a","Rat parvovirus 1","Rat parvovirus 2","Rat picobirnavirus","Rodent astrovirus 1","Rodent astrovirus 2","Rodent astrovirus 3","Rodent coronavirus","Rodent pegivirus","Rodent torque teno virus 3","Simian picobirnavirus","Spironucleus sp","Spironucleus sp2","Spironucleus sp3","Spironucleus sp4","Spironucleus sp5","Strongyloides ratti","Strongyloides stercoralis","Strongyloides venezuelensis","Tritrichomonas sp","Trypanosoma lewis","Wenzhou Apodemus agrarius hepacivirus 1","Wnezhou virus"
"M2112DBH01F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04316,0
"M2112DBH02P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.896228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133621,0
"M2112DBH03C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2112DBH04C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655.8589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2112DBH04F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2112DBH04P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2112DBH06C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056.669954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2112DBH06P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.855865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25168,0
"M2112DBH07P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2112DBH07RCX100",0,0,0,0,0,0,0,0,0,0,0,0,0,35.4297,0,0,0,0,0,0,617.6291635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
