"Library","Hos_Taxo","RPM","Individual","Tissue","Region","Time"
"M2112DBH01F","Suncus murinus","2423.83","M2112DBH01","Lung","M2112DB","202112"
"M2112DBH01P","Suncus murinus","1058.560994","M2112DBH01","Spleen","M2112DB","202112"
"M2112DBH02C","Suncus murinus","47.3898","M2112DBH02","Gut","M2112DB","202112"
"M2112DBH02F","Suncus murinus","3330.1466949","M2112DBH02","Lung","M2112DB","202112"
"M2112DBH02P","Suncus murinus","983.354","M2112DBH02","Spleen","M2112DB","202112"
"M2112DBH03C","Suncus murinus","1209.5738509999999","M2112DBH03","Gut","M2112DB","202112"
"M2112DBH03F","Suncus murinus","1910.3630393","M2112DBH03","Lung","M2112DB","202112"
"M2112DBH03P","Suncus murinus","1352.8","M2112DBH03","Spleen","M2112DB","202112"
"M2112DBH04C","Suncus murinus","767.305","M2112DBH04","Gut","M2112DB","202112"
"M2112DBH04F","Suncus murinus","2179.727715","M2112DBH04","Lung","M2112DB","202112"
"M2112DBH04P","Suncus murinus","769.895","M2112DBH04","Spleen","M2112DB","202112"
"M2112DBH05F","Suncus murinus","2506.250476","M2112DBH05","Lung","M2112DB","202112"
"M2112DBH05P","Suncus murinus","1295.0438362","M2112DBH05","Spleen","M2112DB","202112"
"M2112DBH05RC","Suncus murinus","163.254","M2112DBH05","Gut","M2112DB","202112"
"M2112DBH06C","Suncus murinus","2483.03","M2112DBH06","Gut","M2112DB","202112"
"M2112DBH06F","Suncus murinus","2033.75","M2112DBH06","Lung","M2112DB","202112"
"M2112DBH06P","Suncus murinus","1074.628036","M2112DBH06","Spleen","M2112DB","202112"
"M2112DBH07F","Suncus murinus","1169.6752600000002","M2112DBH07","Lung","M2112DB","202112"
"M2112DBH07P","Suncus murinus","1046.63","M2112DBH07","Spleen","M2112DB","202112"
"M2112DBH07RCX100","Suncus murinus","5151.314170000001","M2112DBH07","Gut","M2112DB","202112"
"M2112DBH08C","Suncus murinus","3905.77744","M2112DBH08","Gut","M2112DB","202112"
"M2112DBH08F","Suncus murinus","4345.21673","M2112DBH08","Lung","M2112DB","202112"
"M2112DBH08P","Suncus murinus","751.14","M2112DBH08","Spleen","M2112DB","202112"
"M2112DBH10C","Rattus tanezumi","15728.254557","M2112DBH10","Gut","M2112DB","202112"
"M2112DBH10F","Rattus tanezumi","5441.06","M2112DBH10","Lung","M2112DB","202112"
"M2112DBH10P","Rattus tanezumi","3017.224022","M2112DBH10","Spleen","M2112DB","202112"
"M2112DBH11C","Rattus norvegicus","7040.258712","M2112DBH11","Gut","M2112DB","202112"
"M2112DBH11F","Rattus norvegicus","5750.74","M2112DBH11","Lung","M2112DB","202112"
"M2112DBH11P","Rattus norvegicus","10837.181825900001","M2112DBH11","Spleen","M2112DB","202112"
"M2112DBH12C","Rattus norvegicus","13353.173954","M2112DBH12","Gut","M2112DB","202112"
"M2112DBH12P","Rattus norvegicus","3664.8263446","M2112DBH12","Spleen","M2112DB","202112"
"M2112DBH13C","Rattus norvegicus","15574.759974","M2112DBH13","Gut","M2112DB","202112"
"M2112DBH13F","Rattus norvegicus","7595.5823051","M2112DBH13","Lung","M2112DB","202112"
"M2112DBH13P","Rattus norvegicus","6013.5042654","M2112DBH13","Spleen","M2112DB","202112"
"M2112DBH14C","Rattus norvegicus","7451.717261","M2112DBH14","Gut","M2112DB","202112"
"M2112DBH14F","Rattus norvegicus","4058.3776692","M2112DBH14","Lung","M2112DB","202112"
"M2112DBH14P","Rattus norvegicus","10026.500029","M2112DBH14","Spleen","M2112DB","202112"
"M2112DBH15C","Rattus norvegicus","12235.019274","M2112DBH15","Gut","M2112DB","202112"
"M2112DBH15F","Rattus norvegicus","4295.497198","M2112DBH15","Lung","M2112DB","202112"
"M2112DBH15P","Rattus norvegicus","9885.38272","M2112DBH15","Spleen","M2112DB","202112"
"M2112DBH16C","Rattus norvegicus","7341.33739","M2112DBH16","Gut","M2112DB","202112"
"M2112DBH16P","Rattus norvegicus","5762.7126251","M2112DBH16","Spleen","M2112DB","202112"
"M2112DBH17C","Rattus norvegicus","13447.432025","M2112DBH17","Gut","M2112DB","202112"
"M2112DBH17F","Rattus norvegicus","4042.4210936","M2112DBH17","Lung","M2112DB","202112"
"M2112DBH17P","Rattus norvegicus","2280.5361264","M2112DBH17","Spleen","M2112DB","202112"
"M2112DBH18C","Rattus norvegicus","8796.455805","M2112DBH18","Gut","M2112DB","202112"
"M2112DBH18F","Rattus norvegicus","8720.294373","M2112DBH18","Lung","M2112DB","202112"
"M2112DBH18P","Rattus norvegicus","3959.6779490000004","M2112DBH18","Spleen","M2112DB","202112"
"M2112DBH19C","Rattus norvegicus","8260.230942","M2112DBH19","Gut","M2112DB","202112"
"M2112DBH19P","Rattus norvegicus","5880.836362","M2112DBH19","Spleen","M2112DB","202112"
"M2112DBH20C","Rattus norvegicus","7839.67058","M2112DBH20","Gut","M2112DB","202112"
"M2112DBH20F","Rattus norvegicus","6197.5395518","M2112DBH20","Lung","M2112DB","202112"
"M2112DBH20P","Rattus norvegicus","6967.75","M2112DBH20","Spleen","M2112DB","202112"
"M2112DBH21C","Rattus norvegicus","12332.227157000001","M2112DBH21","Gut","M2112DB","202112"
"M2112DBH21F","Rattus norvegicus","5754.1594516","M2112DBH21","Lung","M2112DB","202112"
"M2112DBH21P","Rattus norvegicus","5766.01","M2112DBH21","Spleen","M2112DB","202112"
"M2112DBH22C","Rattus norvegicus","11068.89848","M2112DBH22","Gut","M2112DB","202112"
"M2112DBH22F","Rattus norvegicus","4712.7321170000005","M2112DBH22","Lung","M2112DB","202112"
"M2112DBH22P","Rattus norvegicus","3876.0731148","M2112DBH22","Spleen","M2112DB","202112"
"M2112DBH23C","Rattus norvegicus","19741.400206000002","M2112DBH23","Gut","M2112DB","202112"
"M2112DBH23F","Rattus norvegicus","2371.4533552","M2112DBH23","Lung","M2112DB","202112"
"M2112DBH23P","Rattus norvegicus","6092.3014453","M2112DBH23","Spleen","M2112DB","202112"
"M2112DBH24C","Rattus tanezumi","13311.396561","M2112DBH24","Gut","M2112DB","202112"
"M2112DBH24F","Rattus tanezumi","2169.975163","M2112DBH24","Lung","M2112DB","202112"
"M2112DBH24P","Rattus tanezumi","3120.119405","M2112DBH24","Spleen","M2112DB","202112"
"M2112DBH25C","Rattus norvegicus","9618.583246","M2112DBH25","Gut","M2112DB","202112"
"M2112DBH25F","Rattus norvegicus","2650.95635","M2112DBH25","Lung","M2112DB","202112"
"M2112DBH25P","Rattus norvegicus","5334.2687656","M2112DBH25","Spleen","M2112DB","202112"
"M2112DBH26C","Rattus tanezumi","6583.332213000001","M2112DBH26","Gut","M2112DB","202112"
"M2112DBH26F","Rattus tanezumi","3243.6190255999995","M2112DBH26","Lung","M2112DB","202112"
"M2112DBH26P","Rattus tanezumi","3234.384094","M2112DBH26","Spleen","M2112DB","202112"
"M2112DBH27C","Rattus tanezumi","3276.559718","M2112DBH27","Gut","M2112DB","202112"
"M2112DBH27F","Rattus tanezumi","2116.3522652","M2112DBH27","Lung","M2112DB","202112"
"M2112DBH27P","Rattus tanezumi","5872.801466999999","M2112DBH27","Spleen","M2112DB","202112"
"M2112DBH28C","Rattus tanezumi","5256.058225","M2112DBH28","Gut","M2112DB","202112"
"M2112DBH28P","Rattus tanezumi","5645.279237","M2112DBH28","Spleen","M2112DB","202112"
"M2112DBH29C","Rattus tanezumi","11782.981023","M2112DBH29","Gut","M2112DB","202112"
"M2112DBH29F","Rattus tanezumi","2121.6714226000004","M2112DBH29","Lung","M2112DB","202112"
"M2112DBH29P","Rattus tanezumi","10880.838909999999","M2112DBH29","Spleen","M2112DB","202112"
"M2112DBH30C","Rattus tanezumi","7796.667785","M2112DBH30","Gut","M2112DB","202112"
"M2112DBH30F","Rattus tanezumi","2390.8127009","M2112DBH30","Lung","M2112DB","202112"
"M2112DBH30P","Rattus tanezumi","4805.871672","M2112DBH30","Spleen","M2112DB","202112"
"M2112DBH31C","Rattus tanezumi","7847.424432","M2112DBH31","Gut","M2112DB","202112"
"M2112DBH31F","Rattus tanezumi","1642.6825053999999","M2112DBH31","Lung","M2112DB","202112"
"M2112DBH31P","Rattus tanezumi","3576.8176878","M2112DBH31","Spleen","M2112DB","202112"
"M2112DBH32C","Rattus tanezumi","16210.96801","M2112DBH32","Gut","M2112DB","202112"
"M2112DBH32F","Rattus tanezumi","4476.1450544","M2112DBH32","Lung","M2112DB","202112"
"M2112DBH32P","Rattus tanezumi","5642.840548","M2112DBH32","Spleen","M2112DB","202112"
"M2112DBH33F","Bandicota indica","2018.0699229","M2112DBH33","Lung","M2112DB","202112"
"M2112DBH33P","Bandicota indica","7560.2311258","M2112DBH33","Spleen","M2112DB","202112"
"M2112DBH34C","Bandicota indica","8762.2770863","M2112DBH34","Gut","M2112DB","202112"
"M2112DBH34F","Bandicota indica","2197.1186749999997","M2112DBH34","Lung","M2112DB","202112"
"M2112DBH34P","Bandicota indica","4309.438403300001","M2112DBH34","Spleen","M2112DB","202112"
"M2112DBH35F","Bandicota indica","1552.147088","M2112DBH35","Lung","M2112DB","202112"
"M2112DBH35P","Bandicota indica","5492.11094","M2112DBH35","Spleen","M2112DB","202112"
"M2112DBH36C","Bandicota indica","11061.662179699999","M2112DBH36","Gut","M2112DB","202112"
"M2112DBH36F","Bandicota indica","1891.0165071","M2112DBH36","Lung","M2112DB","202112"
"M2112DBH37C","Bandicota indica","7194.7256719","M2112DBH37","Gut","M2112DB","202112"
"M2112DBH37F","Bandicota indica","1886.6213034","M2112DBH37","Lung","M2112DB","202112"
"M2112DBH37P","Bandicota indica","4423.9524396","M2112DBH37","Spleen","M2112DB","202112"
"M2112DBH38C","Bandicota indica","8810.607068","M2112DBH38","Gut","M2112DB","202112"
"M2112DBH38F","Bandicota indica","1346.626973","M2112DBH38","Lung","M2112DB","202112"
