"","Library","Hos_Taxo","Tissue","Collected_Time","Collected_Region","Angiostrongylus cantonensis","Babesia microti","Bartonella kosoyi","Bartonella sp","Beilong virus","Betacoronavirus 1","Brachylaima sp","Cadrema minor","Chilomastix sp","Chlamydia muridarum","Collinsella aerofaciens","Cryptosporidium ubiquitum","Deer mastadenovirus B","Desulfovibrio piger","Eimeria dispersa","Eimeria falciformis","Giardia sp1","Giardia sp3","Guangdong Bandicota indica arterivirus virus","Guangdong Bandicota indica astrovirus","Guangdong dicipi-like virus","Guangdong murine mastadenovirus 2","Guangdong parechovirus","Guangdong Rattus norvegicus arterivirus virus","Guangdong Rattus norvegicus arterivirus virus 2","Guangdong rodent aleptorquevirus","Guangdong rodent anellovirus 1","Guangdong rodent anellovirus 2","Guangdong rodent anellovirus 3","Guangdong rodent arterivirus 1","Guangdong rodent arterivirus 2","Guangdong rodent chaphamaparvovirus 3","Guangdong rodent dependoparvovirus 1","Guangdong rodent dependoparvovirus 2","Guangdong rodent dependoparvovirus 3","Guangdong rodent dependoparvovirus 4","Guangdong rodent mastadenovirus 1","Guangdong rodent orbivirus","Guangdong rodent picorna-like virus 14","Guangdong rodent torque teno virus 1","Guangdong rodent torque teno virus 3","Guangdong rosa-like virus","Hepatozoon sp","Hunnivirus A","Hypotrichomonas","Klebsiella variicola","Mischivirus E","Monocercomonoides","Murine kobuvirus","Nippostrongylus brasiliensis","Norwalk virus","Norway rat pestivirus","Orthohantavirus seoulense","Oryza sativa","Oxyurida sp","Parabovirus A","Partiti-Picobirna-like","Plagiorchis multiglandularis","Pneumocystis carinii","Pneumocystis murina","Pneumocystis sus","Pneumocystis wakefieldiae","Porcine bocavirus","Rabovirus A","Raillietina sp","Rat hepatitis E virus","Rat minute virus 2a","Rat parvovirus 1","Rat parvovirus 2","Rodent astrovirus 1","Rodent astrovirus 2","Rodent astrovirus 3","Rodent coronavirus","Rodent pegivirus","Rodent torque teno virus 3","Spironucleus sp","Spironucleus sp2","Spironucleus sp3","Spironucleus sp4","Spironucleus sp5","Strongyloides ratti","Strongyloides stercoralis","Strongyloides venezuelensis","Tritrichomonas sp","Trypanosoma lewis","Wenzhou Apodemus agrarius hepacivirus 1","Wnezhou virus"
"2","M2112DBH01F","Suncus murinus","Lung","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04316,0
"3","M2112DBH01P","Suncus murinus","Spleen","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","M2112DBH02C","Suncus murinus","Gut","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","M2112DBH02F","Suncus murinus","Lung","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","M2112DBH02P","Suncus murinus","Spleen","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.896228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133621,0
"7","M2112DBH03C","Suncus murinus","Gut","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","M2112DBH03F","Suncus murinus","Lung","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","M2112DBH03P","Suncus murinus","Spleen","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","M2112DBH04C","Suncus murinus","Gut","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655.8589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","M2112DBH04F","Suncus murinus","Lung","2021-Winter","DB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
