"","Type","Time","Region","Host"
"Bandicota indica-AP-2021-Winter","Bandicota indica-AP-2021-Winter","2021-Winter","AP","Bandicota indica"
"Bandicota indica-DB-2021-Winter","Bandicota indica-DB-2021-Winter","2021-Winter","DB","Bandicota indica"
"Bandicota indica-ZJ-2021-Winter","Bandicota indica-ZJ-2021-Winter","2021-Winter","ZJ","Bandicota indica"
"Bandicota indica-AP-2022-Autumn","Bandicota indica-AP-2022-Autumn","2022-Autumn","AP","Bandicota indica"
"Bandicota indica-HY-2022-Autumn","Bandicota indica-HY-2022-Autumn","2022-Autumn","HY","Bandicota indica"
"Bandicota indica-ZJ-2022-Autumn","Bandicota indica-ZJ-2022-Autumn","2022-Autumn","ZJ","Bandicota indica"
"Bandicota indica-AP-2022-Spring","Bandicota indica-AP-2022-Spring","2022-Spring","AP","Bandicota indica"
"Bandicota indica-ZJ-2022-Spring","Bandicota indica-ZJ-2022-Spring","2022-Spring","ZJ","Bandicota indica"
"Bandicota indica-AP-2022-Summer","Bandicota indica-AP-2022-Summer","2022-Summer","AP","Bandicota indica"
"Bandicota indica-ZJ-2022-Summer","Bandicota indica-ZJ-2022-Summer","2022-Summer","ZJ","Bandicota indica"
"Bandicota indica-AP-2022-Winter","Bandicota indica-AP-2022-Winter","2022-Winter","AP","Bandicota indica"
"Bandicota indica-SG-2022-Winter","Bandicota indica-SG-2022-Winter","2022-Winter","SG","Bandicota indica"
"Bandicota indica-SS-2022-Winter","Bandicota indica-SS-2022-Winter","2022-Winter","SS","Bandicota indica"
"Bandicota indica-SZ-2022-Winter","Bandicota indica-SZ-2022-Winter","2022-Winter","SZ","Bandicota indica"
"Bandicota indica-YF-2022-Winter","Bandicota indica-YF-2022-Winter","2022-Winter","YF","Bandicota indica"
"Bandicota indica-ZJ-2022-Winter","Bandicota indica-ZJ-2022-Winter","2022-Winter","ZJ","Bandicota indica"
"Berylmys sp.-AP-2021-Winter","Berylmys sp.-AP-2021-Winter","2021-Winter","AP","Berylmys sp."
"Berylmys sp.-ZJ-2022-Spring","Berylmys sp.-ZJ-2022-Spring","2022-Spring","ZJ","Berylmys sp."
"Berylmys sp.-AP-2022-Winter","Berylmys sp.-AP-2022-Winter","2022-Winter","AP","Berylmys sp."
