"","Individual","land_used"
"1","M2211APBCSW504",41
"2","M2211APBCSW505",41
"3","M2211APBCSW502",12
"4","M2211APBCSW503",12
"5","M2211APBCSW500",12
"6","M2211APBCSW501",12
"7","M2211APBCSW497",12
"8","M2211APBCSW498",12
"9","M2211APBCSW495",12
"10","M2211APBCSW496",12
"11","M2211APBCSW499",12
"12","M2206APBCSW308",12
"13","M2206APBCSW304",12
"14","M2206APBCSW306",12
"15","M2206APBCSW307",12
"16","M2206APXTSW315",12
"17","M2206APBCSW305",12
"18","M2206APXTSW316",12
"19","M2206APBCSW302",22
"20","M2206APBCSW303",22
"21","M2206APBCSW301",22
"22","M2206APBCSW300",22
"23","M2206APBCSW299",22
"24","M2211APHXSH485",52
"25","M2211APHXSH484",52
"26","M2211APHJSH470",52
"27","M2211APHJSH472",52
"28","M2211APHJSH478",52
"29","M2211APHJSH479",52
"30","M2211APHJSH471",52
"31","M2211APHJSH477",52
"32","M2211APHXSH482",52
"33","M2211APHJSH473",52
"34","M2211APHJSH480",52
"35","M2211APHJSH481",52
"36","M2211APHXSH486",52
"37","M2211APHXSH491",52
"38","M2211APHXSH492",52
"39","M2211APHXSH493",52
"40","M2211APHJSH476",52
"41","M2211APHXSH490",52
"42","M2211APHXSH487",52
"43","M2211APHJSH474",52
"44","M2211APHJSH475",52
"45","M2211APHXSH489",52
"46","M2211APHXSH488",52
"47","M2301APBCSW801",12
"48","M2301APHXSW779",12
"49","M2301APBCSW804",12
"50","M2301APBCSW800",12
"51","M2301APBCSW796",12
"52","M2301APBCSW805",12
"53","M2301APBCSW797",12
"54","M2301APBCSW799",12
"55","M2301APBCSW803",12
"56","M2301APBCSW802",12
"57","M2204APHMSW297",24
"58","M2204APXTSW298",24
"59","M2206APBCSW310",12
"60","M2206APBCSW309",12
"61","M2206APQMSW314",12
"62","M2206APBCSW312",12
"63","M2206APBCSW313",12
"64","M2206APBCSW311",12
"65","M2201APXTSW114",52
"66","M2201APXTSW113",52
"67","M2201APBCSW103",52
"68","M2201APBCSW104",52
"69","M2201APXTSW112",52
"70","M2201APBCSW102",52
"71","M2201APBCSW100",52
"72","M2201APBCSW094",46
"73","M2201APBCSW091",46
"74","M2201APHWSW105",46
"75","M2201APBCSW093",46
"76","M2201APBCSW090",46
"77","M2201APBCSW092",46
"78","M2301APBCSW806",11
"79","M2301APBCSW809",11
"80","M2301APBCSW808",11
"81","M2301APBCSW807",11
"82","M2201APCQJH071",52
"83","M2201APHXSH080",52
"84","M2201APHXSH085",52
"85","M2201APCQJH073",52
"86","M2201APCQJH064",52
"87","M2201APCQJH072",52
"88","M2201APHXSH084",52
"89","M2201APHJSH088",52
